COMID,Monitoring,lat,lon,AreaSqKM,wshd area,TotDASqKM,Source
4683708.0,USGS-01556009,40.47194444,-78.1869444,3.8295,296.0,766.8954,2
4726593.0,USGS-01578310,39.65788889,-76.1744444,0.4275,27100.0,70161.1119,2
9514000.0,USGS-01403300,40.55944444,-74.52777778,1.6353,804.0,2072.4228,2
22340529.0,USGS-01646580,38.9295555,-77.1169232,2.7954,11570.0,31.5783,2
