"","COMID"
"1",4710552
"2",4710536
"3",4710570
"4",4711888
"5",4710714
"6",4710700
"7",4710704
"8",4710706
"9",4710702
"10",4710656
"11",4710644
"12",4710640
"13",4710636
"14",4710648
"15",4710606
"16",4710602
"17",4710586
"18",4710568
"19",4710464
"20",4710490
"21",4710528
"22",4710508
"23",4710506
"24",4710504
"25",4710530
"26",4710524
"27",4710526
"28",4710540
"29",4710616
"30",4710608
"31",4710620
"32",4710618
"33",4710614
"34",4710592
"35",4710642
"36",4711886
"37",4710596
"38",4710624
"39",4710682
"40",4710686
"41",4710678
"42",4710666
"43",4710670
"44",4710716
"45",4710722
"46",4710740
"47",4711892
"48",4710760
"49",4710768
"50",4710800
"51",4710832
"52",4711900
"53",4710934
"54",4710518
"55",4710522
"56",4710486
"57",4710440
"58",4710482
"59",4710456
"60",4710444
"61",4710572
"62",4710574
"63",4710862
"64",4710590
"65",4712036
"66",4711898
"67",4711010
"68",4711912
"69",4710438
"70",4710428
"71",4710396
"72",4710350
"73",4710348
"74",4710344
"75",4710334
"76",4710336
"77",4710352
"78",4710386
"79",4710398
"80",4710712
"81",4711890
"82",4710852
"83",4710838
"84",4710710
"85",4710772
"86",4710792
"87",4710836
"88",4710774
"89",4710776
"90",4710784
"91",4710790
"92",4710804
"93",4710824
"94",4710588
"95",4711876
"96",4710990
"97",4711902
"98",4710510
"99",4710448
"100",4710432
"101",4710412
"102",4710532
"103",4710584
"104",4710554
"105",4711882
"106",4710594
"107",4710638
"108",4710630
"109",4710562
"110",4710502
"111",4710454
"112",4710402
"113",4710462
"114",4710492
"115",4710544
"116",4710534
"117",4712116
"118",4710582
"119",4710546
"120",4710470
"121",4710420
"122",4710632
"123",4710566
"124",4710660
"125",4710672
"126",4710698
"127",4710724
"128",4710742
"129",4710762
"130",4710766
"131",4710854
"132",4710874
"133",4710840
"134",4710860
"135",4710842
"136",4710820
"137",4710814
"138",4710796
"139",4710732
"140",4710758
"141",4710752
"142",4710694
"143",4710650
"144",4710684
"145",4710598
"146",4710718
"147",4710720
"148",4710610
"149",4710538
"150",4710658
"151",4710514
"152",4710516
"153",4710580
"154",4710488
"155",4710466
"156",4710604
"157",4710646
"158",4710728
"159",4710708
"160",4710726
"161",4710436
"162",4710476
"163",4710484
"164",4710458
"165",4710984
"166",4711954
"167",4710446
"168",4710408
"169",4710430
"170",4712114
"171",4710382
"172",4710548
"173",4711884
"174",4710560
"175",4710500
"176",4710452
"177",4710426
"178",4711878
"179",4710362
"180",4710404
"181",4710424
"182",4710378
"183",4710394
"184",4710346
"185",4710314
"186",4710316
"187",4710340
"188",4710332
"189",4710320
"190",4710388
"191",4710384
"192",4710376
"193",4710392
"194",4710372
"195",4710460
"196",4710494
"197",4711880
"198",4710434
"199",4710472
"200",4710806
"201",4710894
"202",4711904
"203",4710976
"204",4710730
"205",4710778
"206",4711910
"207",4710930
"208",4710578
"209",4710654
"210",4710576
"211",4710802
"212",4710818
"213",4710822
"214",4710828
"215",4710830
"216",4710850
"217",4710786
"218",4710782
"219",4710794
"220",4711896
"221",4710512
"222",4710468
"223",4710780
"224",4710520
"225",4710478
"226",4710442
"227",4710406
"228",4710364
"229",4710380
"230",4711908
"231",4711906
"232",4710844
"233",4710764
"234",4710872
"235",4710826
"236",4710816
"237",4710480
