"","COMID"
"1",4671395
"2",4671405
"3",4671401
"4",4671407
"5",4671413
"6",4671415
"7",4672549
"8",4671419
"9",4672555
"10",4672553
"11",4672375
"12",4672571
"13",4672383
"14",4672381
"15",4672391
"16",4672389
"17",4672397
"18",4672409
"19",4672421
"20",4672401
"21",4672405
"22",4672411
"23",4672431
"24",4672433
"25",4672447
"26",4672449
"27",4672441
"28",4672435
"29",4672419
"30",4672453
"31",4672443
"32",4672485
"33",4672487
"34",4672459
"35",4672477
"36",4672481
"37",4672467
"38",4672499
"39",4672501
"40",4672489
"41",4672505
"42",4672509
"43",4672525
"44",4672517
"45",4672523
"46",4672577
"47",4672537
"48",4672573
"49",4674931
"50",4675063
"51",4674959
"52",4674967
"53",4675067
"54",4674969
"55",4673267
"56",4674975
"57",4674977
"58",4675075
"59",4675071
"60",4674981
"61",4674985
"62",4673385
"63",4674989
"64",4675085
"65",4674991
"66",4675089
"67",4673421
"68",4674993
"69",4675079
"70",4673433
"71",4673431
"72",4673541
"73",4673555
"74",4673577
"75",4673605
"76",4673643
"77",4673677
"78",4673699
"79",4673803
"80",4673827
"81",4673903
"82",4673911
"83",4673931
"84",4674009
"85",4674849
"86",4674063
"87",4674103
"88",4674163
"89",4674201
"90",4674217
"91",4674249
"92",4674277
"93",4674291
"94",4674321
"95",4674347
"96",4674441
"97",4674891
"98",4674487
"99",4674497
"100",4675101
"101",4672541
"102",4674919
"103",4671387
"104",4671391
"105",4674941
"106",4672979
"107",4675093
"108",4675099
"109",4674955
"110",4674951
"111",8135598
"112",8135602
"113",8135618
"114",8135630
"115",8135678
"116",8135650
"117",8135622
"118",8135626
"119",8135636
"120",8135638
"121",8135610
"122",8135614
"123",8135604
"124",8135586
"125",8135592
"126",8135566
"127",8135562
"128",8135536
"129",8135556
"130",8135532
"131",8135508
"132",8135538
"133",8135500
"134",8135514
"135",8135494
"136",8135498
"137",8135482
"138",8135486
"139",8135520
"140",8135526
"141",8135528
"142",8135542
"143",8135546
"144",8135558
"145",8135552
"146",8135570
"147",8135582
"148",8135574
"149",8135576
"150",8135648
"151",8135642
"152",8135656
"153",8137096
"154",8135676
"155",8135652
"156",8135594
"157",8153511
"158",8153515
"159",8153535
"160",4673449
"161",4674987
"162",4673459
"163",4673581
"164",4673597
"165",4673615
"166",4673681
"167",4673769
"168",4673825
"169",4673853
"170",4673881
"171",4673921
"172",4673929
"173",4674839
"174",4674035
"175",4674047
"176",4674067
"177",4674129
"178",4674145
"179",4674329
"180",4674353
"181",4674367
"182",4674437
"183",4674457
"184",4674465
"185",4674473
"186",4674511
"187",4674533
"188",4674555
"189",4674593
"190",4674613
"191",4674619
"192",4674657
"193",4674671
"194",4674723
"195",4674741
"196",4677931
"197",4672535
"198",4674907
"199",4674901
"200",4672539
"201",4674911
"202",4675057
"203",4672947
"204",4674915
"205",4674917
"206",4672997
"207",4673039
"208",4673067
"209",4673101
"210",4673117
"211",4673165
"212",4673193
"213",4673223
"214",4673241
"215",4673269
"216",4673333
"217",4673437
"218",4673491
"219",4673551
"220",4673625
"221",4673645
"222",4673687
"223",4673801
"224",4674805
"225",4674809
"226",4673913
"227",4673933
"228",4673965
"229",4674831
"230",4674057
"231",4672037
"232",4672413
"233",4672031
"234",4672059
"235",4672099
"236",4672131
"237",4672137
"238",4672243
"239",4672263
"240",4675043
"241",4672835
"242",4672857
"243",4672859
"244",4672935
"245",4672955
"246",4672959
