"","COMID"
"1",6247898
"2",6249348
"3",932030117
"4",6248392
"5",932030111
"6",6246118
"7",6244370
"8",6244524
"9",6244364
"10",6244474
"11",6244338
"12",6244332
"13",6244334
"14",6244520
"15",6244328
"16",6244268
"17",6244542
"18",6244488
"19",6244252
"20",6244256
"21",6244486
"22",6244246
"23",6244242
"24",6254158
"25",6244244
"26",6245418
"27",6244250
"28",6245380
"29",6245430
"30",6248510
"31",6250926
"32",26814543
"33",6248500
"34",6248508
"35",6248506
"36",6244534
"37",6244530
"38",6244526
"39",6244518
"40",6244516
"41",6244508
"42",6244544
"43",6244494
"44",6244492
"45",6244480
"46",6244484
"47",6249434
"48",6249408
"49",6246218
"50",6249372
"51",6246724
"52",6246094
"53",6246630
"54",6245960
"55",6245928
"56",6246636
"57",6245914
"58",6245892
"59",6245598
"60",6245578
"61",6245476
"62",6246484
"63",6246044
"64",6246640
"65",6245888
"66",6244376
"67",6245864
"68",6244372
"69",6244366
"70",6244350
"71",6245686
"72",6244522
"73",6245688
"74",6245568
"75",6246462
"76",6246464
"77",6244340
"78",6244342
"79",6244346
"80",6244336
"81",6244538
"82",6244266
"83",6244310
"84",6244302
"85",6244298
"86",6245390
"87",6244240
"88",6245408
"89",6244258
"90",6244248
"91",6244260
"92",6244280
"93",6244282
"94",6245504
"95",6244290
"96",6244540
"97",6244318
"98",6244320
"99",6244512
"100",6244314
"101",6244312
"102",6244308
"103",6244504
"104",6244272
"105",6244496
"106",6244284
"107",6244536
"108",6244324
"109",6244330
"110",6244358
"111",6244362
"112",6246068
"113",6246672
"114",6246120
"115",6247896
"116",6247892
"117",6247904
"118",6247916
"119",6247920
"120",6247938
"121",6246194
"122",932030113
"123",6246366
"124",6245982
"125",26814541
"126",6250914
"127",6250918
"128",6250916
"129",6248502
"130",6248504
"131",6244532
"132",6244528
"133",6246676
"134",6246692
"135",6246680
"136",6244514
"137",6244510
"138",6244490
"139",6244482
"140",6246418
"141",6248492
"142",6248498
"143",6248496
"144",6248490
"145",6246192
"146",6246034
"147",6245916
"148",6246360
"149",6245894
"150",6245600
"151",6245562
"152",6245588
"153",6246486
"154",6246480
"155",6245528
"156",6246474
"157",6245542
"158",6245524
"159",6245502
"160",6245544
"161",6245512
"162",6246456
"163",6246460
"164",6246472
"165",6245974
"166",6245938
"167",6246964
"168",6249432
"169",6249416
"170",6249420
"171",6245682
"172",6245808
"173",6245810
"174",6244368
"175",6244356
"176",6244348
"177",6244306
"178",6244296
"179",6244264
"180",6244262
"181",6244254
"182",6244300
"183",6244288
"184",6245436
"185",6244278
"186",6244274
"187",6244506
"188",6244322
"189",6244326
"190",6244316
"191",6244286
"192",6244270
"193",6244498
"194",6244304
"195",6244276
"196",6244502
"197",6244500
"198",6244378
"199",932030112
"200",6244384
"201",932030109
"202",6247890
"203",6247900
"204",6247908
"205",6247928
"206",6247918
"207",6246678
"208",6246682
"209",6248494
"210",6248488
"211",6244380
"212",6244382
"213",932030082
"214",932030083
"215",932030084
"216",6245972
"217",6246642
"218",6246644
"219",6245516
"220",6245566
"221",6245936
"222",6249414
"223",6249380
"224",6249410
"225",6247902
"226",26814555
"227",26900352
"228",26814557
