"","COMID"
"1",6249686
"2",6251048
"3",6251026
"4",6251028
"5",6251052
"6",6249824
"7",6249784
"8",6251084
"9",6251062
"10",6251064
"11",6251082
"12",6249832
"13",6251086
"14",6251090
"15",6251126
"16",6250676
"17",6251124
"18",6251152
"19",6251144
"20",6251122
"21",6251112
"22",6249820
"23",6249826
"24",6251110
"25",6251114
"26",6251116
"27",6249828
"28",6249762
"29",26814495
"30",6249754
"31",6250656
"32",6249910
"33",6250668
"34",6249902
"35",6250688
"36",6250692
"37",6250690
"38",6250700
"39",6249976
"40",6249992
"41",6250714
"42",6250762
"43",6250766
"44",6250784
"45",6250202
"46",6250802
"47",6250246
"48",6250814
"49",6250836
"50",6250358
"51",6250368
"52",6250390
"53",6250398
"54",6250864
"55",6250422
"56",6250420
"57",6250418
"58",6250860
"59",6250360
"60",6250852
"61",6250336
"62",6250332
"63",6250276
"64",6250266
"65",6250320
"66",6251404
"67",6251400
"68",6251402
"69",6250820
"70",6251396
"71",6250214
"72",6250190
"73",6251392
"74",6251394
"75",6250388
"76",6249772
"77",6249770
"78",6249814
"79",6249768
"80",6249792
"81",6251104
"82",6249816
"83",6251106
"84",6249780
"85",6249766
"86",6249740
"87",6249738
"88",6249700
"89",6249690
"90",6249658
"91",6250622
"92",6249500
"93",6249492
"94",6249470
"95",6250618
"96",6249994
"97",6250706
"98",6249948
"99",6250680
"100",6249912
"101",6249860
"102",6251176
"103",6250646
"104",6249724
"105",6249774
"106",6249866
"107",6250378
"108",6250384
"109",6250846
"110",6250842
"111",6250302
"112",6250304
"113",6251398
"114",6250280
"115",6250278
"116",6250826
"117",6250428
"118",6250424
"119",6250432
"120",6251408
"121",6251406
"122",6250426
"123",6250430
"124",6250414
"125",6250416
"126",6250412
"127",6249710
"128",6251046
"129",6249568
"130",6249566
"131",6249508
"132",6249426
"133",6250940
"134",6249352
"135",6249402
"136",932030149
"137",6246230
"138",932030150
"139",6246210
"140",6246182
"141",6246184
"142",6246178
"143",6246174
"144",6246362
"145",6246090
"146",6246854
"147",6246084
"148",6246066
"149",6245978
"150",6245976
"151",6245966
"152",6246012
"153",6246352
"154",6246328
"155",6245662
"156",6249852
"157",6250682
"158",6250704
"159",6249760
"160",6249788
"161",6251056
"162",6251070
"163",6251054
"164",6251078
"165",6249842
"166",6249966
"167",6251094
"168",6254168
"169",6251092
"170",6250034
"171",6251278
"172",6250736
"173",6249928
"174",6251146
"175",6251148
"176",6249960
"177",6249748
"178",6250642
"179",6249862
"180",6250654
"181",6249904
"182",6249884
"183",6249800
"184",6251208
"185",6249786
"186",6250650
"187",6249596
"188",6251036
"189",6246242
"190",6249392
"191",6246190
"192",6246214
"193",6246892
"194",6246152
"195",6246880
"196",6246364
"197",6250770
"198",6250238
"199",6250794
"200",6251372
"201",6251370
"202",6250252
"203",6250862
"204",6250352
"205",6250346
"206",6250880
"207",6250334
"208",6250324
"209",6250312
"210",6250828
"211",6250220
"212",6250796
"213",6250818
"214",6250326
"215",6250328
"216",6250348
"217",6251502
"218",6250356
"219",6250392
"220",6250448
"221",6250872
"222",6250438
"223",6250406
"224",6250366
"225",6251500
"226",6250340
"227",6250812
"228",6250230
"229",6250198
"230",6250188
"231",6250136
"232",6250102
"233",6250224
"234",6250232
"235",6250790
"236",6250764
"237",6251494
"238",6250724
"239",6250732
"240",6250712
"241",6250710
"242",6250684
"243",6250670
"244",6250664
"245",6249752
"246",6249834
"247",6250662
"248",6249836
"249",6246324
"250",6250648
"251",6251118
"252",6251120
"253",6249730
"254",6249892
"255",6251418
"256",6249854
"257",6254132
"258",6249936
"259",6250878
"260",6249850
"261",6249846
"262",6249782
"263",6251100
"264",6251412
"265",6251414
"266",6250968
"267",6250978
"268",6246862
"269",6246860
"270",6246848
"271",6246796
"272",6246780
"273",6251390
"274",6251378
"275",26814563
"276",6246946
"277",6249400
"278",6246228
"279",6249450
"280",6250952
"281",6250614
"282",6246162
"283",6246148
"284",6246132
"285",6246794
"286",6246098
"287",932030071
"288",932030072
"289",6245880
"290",6245862
"291",6246686
"292",6245838
"293",6245834
"294",6245796
"295",6245768
"296",6246632
"297",6245740
"298",6245726
"299",6246618
"300",6246620
"301",6245718
"302",6246608
"303",6245672
"304",6245650
"305",6245668
"306",6246590
"307",6246564
"308",6246322
"309",6245642
"310",6246528
"311",6246526
"312",6246524
"313",6245602
"314",6245458
"315",6245448
"316",6246440
"317",6245438
"318",6245400
"319",6246442
"320",6246444
"321",6246446
"322",6245396
"323",6246438
"324",6245384
"325",6245350
"326",6245344
"327",6245320
"328",6246406
"329",6245308
"330",932030069
"331",932030067
"332",6246404
"333",932030068
"334",932030070
"335",6245280
"336",6245270
"337",6246392
"338",6245242
"339",6245230
"340",6245224
"341",6245212
"342",6245218
"343",6245210
"344",6246378
"345",6246376
"346",6245204
"347",6245194
"348",6246314
"349",6245540
"350",6245470
"351",6245444
"352",6246368
"353",6249874
"354",6249876
"355",6249894
"356",6251258
"357",6249964
"358",6249984
"359",6251298
"360",6251296
"361",6249998
"362",6250742
"363",6250086
"364",6250738
"365",6250064
"366",6250088
"367",6251332
"368",6250748
"369",6251360
"370",6250092
"371",6251358
"372",6250078
"373",6250744
"374",6250096
"375",6250106
"376",6250112
"377",6250138
"378",6250126
"379",6251374
"380",6250218
"381",6251496
"382",6250158
"383",6250146
