"","COMID"
"457",8550003
"458",8550037
"459",8550033
"460",8551335
"461",8574235
"462",8574037
"463",8573941
"464",8574237
"465",8574035
"466",8574045
"467",8574233
"468",8580539
"469",8574009
"470",8574013
"471",8574015
"472",8574033
"473",8574019
"474",8574023
"475",8574029
"476",8574017
"477",8574031
"478",8574071
"479",8574021
"480",8574025
"481",8574027
"482",8574073
"483",8574051
"484",8574053
"485",8574067
"486",8574075
"487",8574069
"488",8574065
"489",8574077
"490",8574055
"491",8574049
"492",8573971
"493",8574179
"494",8580541
"495",8574181
"496",8573967
"497",8573969
"498",8573945
"499",8573943
"500",8573947
"501",8573949
"502",8573957
"503",8573955
"504",8573951
"505",8573953
"506",8573983
"507",8573985
"508",8573991
"509",8574163
"510",8573995
"511",8573997
"512",8574157
"513",8573993
"514",8574155
"515",8573999
"516",8574153
"517",8575931
"518",8575933
"519",8575929
"520",8575927
"521",8575913
"522",8575911
"523",8575925
"524",8575907
"525",8575909
"526",8575905
"527",8575903
"528",8575891
"529",8580459
"530",8575867
"531",8575877
"532",8573989
"533",8575889
"534",8573965
"535",8574001
"536",8574081
"537",8574059
"538",8573963
"539",8574063
"540",8574057
"541",8574083
"542",8580471
"543",8574043
"544",8574041
"545",8574039
"546",8574007
"547",8574005
"548",8574003
"549",8574095
"550",8574093
"551",8574091
"552",8575861
"553",8573981
"554",8575935
"555",8574121
"556",8574079
"557",8573961
"558",8575859
"559",8580473
"560",8574011
"561",8574085
"562",8574087
"563",8574089
"564",8574047
"565",8574061
"566",8580457
"567",8573959
"568",8574195
"569",8580513
"570",8573987
"571",8574127
"572",8573975
"573",8574125
"574",8574129
"575",8574123
"576",8575887
"577",8575883
"578",8575871
"579",8575869
"580",8575875
"581",8574131
"582",8574133
"583",8573973
"584",8574137
"585",8573977
"586",8574139
"587",8574135
"588",8573979
"589",10067505
"590",10067517
"591",10067419
"592",10067697
"593",10067333
"594",10067673
"595",10067389
"596",10067405
"597",10067341
"598",10067313
"599",10067327
"600",10067309
"601",10067265
"602",10067297
"603",10067273
"604",10067277
"605",10067403
"606",10067373
"607",10072715
"608",10067369
"609",10072691
"610",10067379
"611",10067401
"612",10067437
"613",10067507
"614",10067489
"615",10073065
"616",10072741
"617",10072743
"618",10072745
"619",10072747
"620",10067685
"621",10072749
"622",10072761
"623",10072711
"624",10067397
"625",10067359
"626",10067703
"627",10067345
"628",10067391
"629",10067383
"630",10062283
"631",10067253
"632",10062309
"633",10067679
"634",8522709
"635",8523781
"636",8522603
"637",8522577
"638",8522569
"639",8522567
"640",8522641
"641",8522425
"642",8523573
"643",8522427
"644",8522419
"645",8522399
"646",8523383
"647",8522459
"648",8522477
"649",8522475
"650",8522443
"651",8522415
"652",8522365
"653",8522179
"654",8523479
"655",8522175
"656",8522105
"657",8522117
"658",8523325
"659",8522171
"660",8522151
"661",8522063
"662",8522059
"663",8522019
"664",8521975
"665",8521961
"666",8521957
"667",8521939
"668",8521919
"669",8521893
"670",8521825
"671",8521855
"672",8521775
"673",8521739
"674",8523303
"675",8521663
"676",8523299
"677",8523297
"678",8523295
"679",8521529
"680",8521539
"681",8521519
"682",8521501
"683",8521457
"684",8521469
"685",8521471
"686",8521437
"687",8521397
"688",8521339
"689",8521307
"690",8521321
"691",8521309
"692",8521281
"693",8521279
"694",8521269
"695",8521211
"696",8521197
"697",8521207
"698",8521203
"699",8523429
"700",8521167
"701",8520635
"702",8523427
"703",8520607
"704",8520603
"705",8520595
"706",8520555
"707",8520543
"708",8520747
"709",8520525
"710",8520741
"711",8520515
"712",8520503
"713",8520495
"714",8522033
"715",8522003
"716",8521891
"717",8521873
"718",8521821
"719",8521803
"720",8521715
"721",8521621
"722",8521583
"723",8521551
"724",8521435
"725",8521369
"726",8521333
"727",8522163
"728",8522201
"729",8520527
"730",8520735
"731",8520615
"732",8520755
"733",8520585
"734",8520573
"735",8520739
"736",8520511
"737",8520501
"738",8520487
"739",8520485
"740",8520715
"741",8525587
"742",8524257
"743",8524261
"744",8524269
"745",8524297
"746",8524319
"747",8524327
"748",8524351
"749",8524393
"750",8524417
"751",8524419
"752",8524427
"753",8525607
"754",8525609
"755",8524439
"756",8525611
"757",8524443
"758",8524449
"759",8524451
"760",8524457
"761",8524517
"762",8524581
"763",8524607
"764",8524637
"765",8524643
"766",8525629
"767",8524753
"768",8522277
"769",8525591
"770",8523367
"771",8525593
"772",8525595
"773",8524465
"774",8524487
"775",8525619
"776",8524503
"777",8524505
"778",8524507
"779",8524531
"780",8524543
"781",8524547
"782",8524553
"783",8524549
"784",8524575
"785",8524587
"786",8524569
"787",8524609
"788",8524653
"789",8524661
"790",8524665
"791",8524675
"792",8524679
"793",8524707
"794",8524747
"795",8524795
"796",8524857
"797",8524855
"798",8524847
"799",8524859
"800",8524869
"801",8524903
"802",8524925
"803",8524961
"804",8524977
"805",8524997
"806",8525645
"807",8525029
"808",8525035
"809",8525057
"810",8525067
"811",8525079
"812",8525087
"813",8525091
"814",8525097
"815",8525099
"816",8525133
"817",8525143
"818",8525147
"819",8525651
"820",8525159
"821",8525163
"822",8525169
"823",8525179
"824",8525193
"825",8525653
"826",8525275
"827",8525285
"828",8525287
"829",8525293
"830",8525303
"831",8525311
"832",8525355
"833",8525399
"834",8525439
"835",8525431
"836",8525497
"837",8526399
"838",8526413
"839",8526419
"840",8526421
"841",8526423
"842",8526435
"843",8526451
"844",8527159
"845",8526483
"846",8523597
"847",8522555
"848",8522561
"849",8522745
"850",8523821
"851",8522821
"852",8522853
"853",8522899
"854",8522941
"855",8522953
"856",8522985
"857",8523033
"858",8523049
"859",8523073
"860",8523109
"861",8523147
"862",8523149
"863",8523157
"864",8523159
"865",8523181
"866",8523197
"867",8523203
"868",8523219
"869",8526025
"870",8523255
"871",8526029
"872",8526035
"873",8526049
"874",8526053
"875",8526099
"876",8526109
"877",8526133
"878",8526137
"879",8526139
"880",8526117
"881",8526121
"882",8526493
"883",8526515
"884",8526519
"885",8526547
"886",8526563
"887",8526701
"888",8526721
"889",8526745
"890",8526885
"891",8526929
"892",8526945
"893",8526961
"894",8527017
"895",8527109
"896",8527061
"897",8523151
"898",8523889
"899",8523187
"900",8526005
"901",8523237
"902",8526333
"903",8525999
"904",8526319
"905",8523239
"906",8523241
"907",8526001
"908",8526079
"909",8526125
"910",8526187
"911",8526191
"912",8522817
"913",8523831
"914",8523391
"915",8522815
"916",8522845
"917",8523787
"918",8522869
"919",8522979
"920",8522909
"921",8523619
"922",8523621
"923",8523019
"924",8523179
"925",8523235
"926",8523883
"927",8523369
"928",8523341
"929",8523509
"930",8521299
"931",8523999
"932",8524001
"933",8524005
"934",8521379
"935",8521349
"936",8521319
"937",8521315
"938",8521291
"939",8521259
"940",8521253
"941",8521249
"942",8520583
"943",8520577
"944",8523115
"945",8523419
"946",8523885
"947",8520497
"948",8522111
"949",8522075
"950",8523397
"951",8523779
"952",8522753
"953",8522767
"954",8522791
"955",8522843
"956",8522857
"957",8522903
"958",8522959
"959",8523065
"960",8521719
"961",8521781
"962",8521783
"963",8521779
"964",8521769
"965",8521761
"966",8521883
"967",8524397
"968",8522705
"969",8523807
"970",8523393
"971",8522627
"972",8522633
"973",8521515
"974",8521511
"975",8521489
"976",8521487
"977",8520609
"978",8522167
"979",8522209
"980",8522263
"981",8522311
"982",8523355
"983",8522317
"984",8521223
"985",8520639
"986",8521191
"987",8523897
"988",8522215
"989",8522029
"990",8523093
"991",8523881
"992",8523051
"993",8523013
"994",8523003
"995",8522993
"996",8522859
"997",8522035
"998",8523317
"999",8523469
"1000",8521879
"1001",8521847
"1002",8521745
"1003",8521657
"1004",8521573
"1005",8523027
"1006",8523867
"1007",8523415
"1008",8520599
"1009",8522811
"1010",8523785
"1011",8522691
"1012",8523769
"1013",8522699
"1014",8523771
"1015",8522731
"1016",8523773
"1017",8522695
"1018",8523777
"1019",8522743
"1020",8522813
"1021",8522823
"1022",8523789
"1023",8522829
"1024",8523793
"1025",8522877
"1026",8523799
"1027",8522835
"1028",8523809
"1029",8523805
"1030",8523011
"1031",8522921
"1032",8523839
"1033",8523037
"1034",8523861
"1035",8523117
"1036",8523139
"1037",8523163
"1038",8523165
"1039",8523185
"1040",8523229
"1041",8526331
"1042",8526003
"1043",8526063
"1044",8526105
"1045",8526131
"1046",8526135
"1047",8526221
"1048",8523137
"1049",8523875
"1050",8523887
"1051",8523223
"1052",8526219
"1053",8526235
"1054",8526247
"1055",8526261
"1056",8526267
"1057",8526277
"1058",8523417
"1059",8523869
"1060",8523411
"1061",8523865
"1062",8522865
"1063",8523847
"1064",8523845
"1065",8522939
"1066",8523843
"1067",8522797
"1068",8523833
"1069",8523827
"1070",8522725
"1071",8522741
"1072",8522803
"1073",8522917
"1074",8522735
"1075",8523817
"1076",8523819
"1077",8522723
"1078",8523815
"1079",8522679
"1080",8523609
"1081",8522565
"1082",8522587
"1083",8522589
"1084",8522657
"1085",8522665
"1086",8522701
"1087",8522715
"1088",8522737
"1089",8522763
"1090",8522831
"1091",8522915
"1092",8522537
"1093",8523593
"1094",8522441
"1095",8523581
"1096",8522473
"1097",8522431
"1098",8523577
"1099",8522433
"1100",8522383
"1101",8522411
"1102",8523763
"1103",8523765
"1104",8522381
"1105",8522367
"1106",8523563
"1107",8522341
"1108",8523555
"1109",8523551
"1110",8522331
"1111",8523543
"1112",8522349
"1113",8522333
"1114",8522313
"1115",8523529
"1116",8523533
"1117",8522307
"1118",8523525
"1119",8522297
"1120",8523511
"1121",8522289
"1122",8522287
"1123",8523347
"1124",8522285
"1125",8522291
"1126",8522299
"1127",8523505
"1128",8523761
"1129",8522283
"1130",8523501
"1131",8523345
"1132",8522255
"1133",8523497
"1134",8522239
"1135",8522233
"1136",8522197
"1137",8523487
"1138",8522207
"1139",8523489
"1140",8523759
"1141",8522123
"1142",8522039
"1143",8522069
"1144",8522055
"1145",8522141
"1146",8522143
"1147",8521953
"1148",8521955
"1149",8521935
"1150",8521881
"1151",8521707
"1152",8521671
"1153",8521593
"1154",8521709
"1155",8521413
"1156",8521467
"1157",8521287
"1158",8521355
"1159",8521389
"1160",8521399
"1161",8521451
"1162",8521541
"1163",8521491
"1164",8524025
"1165",8521531
"1166",8521227
"1167",8520621
"1168",8520627
"1169",8520559
"1170",8520753
"1171",8520471
"1172",8521295
"1173",8521545
"1174",8521627
"1175",8521643
"1176",8521699
"1177",8521765
"1178",8521809
"1179",8524111
"1180",8525669
"1181",8521793
"1182",8524113
"1183",8524119
"1184",8524129
"1185",8524131
"1186",8521797
"1187",8521813
"1188",8521859
"1189",8521887
"1190",8521917
"1191",8521931
"1192",8521949
"1193",8521965
"1194",8521997
"1195",8522017
"1196",8524755
"1197",8524713
"1198",8524629
"1199",8524631
"1200",8524669
"1201",8524799
"1202",8524765
"1203",8522195
"1204",8524803
"1205",8524761
"1206",8522279
"1207",8522269
"1208",8522271
"1209",8523361
"1210",8523333
"1211",8523359
"1212",8522091
"1213",8523475
"1214",8522079
"1215",8522067
"1216",8522103
"1217",8522181
"1218",8522113
"1219",8522159
"1220",8522083
"1221",8522217
"1222",8523485
"1223",8522221
"1224",8523329
"1225",8522227
"1226",8522323
"1227",8523537
"1228",8523545
"1229",8522351
"1230",8523557
"1231",8523565
"1232",8522403
"1233",8522397
"1234",8522377
"1235",8522321
"1236",8523371
"1237",8523339
"1238",8522267
"1239",8523335
"1240",8522495
"1241",8523583
"1242",8522515
"1243",8522529
"1244",8523587
"1245",8522549
"1246",8522615
"1247",8522619
"1248",8523603
"1249",8522637
"1250",8523611
"1251",8522681
"1252",8522625
"1253",8523389
"1254",8522595
"1255",8522685
"1256",8523801
"1257",8522689
"1258",8523803
"1259",8522793
"1260",8523835
"1261",8523829
"1262",8522733
"1263",8523813
"1264",8522805
"1265",8523825
"1266",8522929
"1267",8523851
"1268",8522965
"1269",8523853
"1270",8522935
"1271",8523007
"1272",8523061
"1273",8523871
"1274",8522999
"1275",8523063
"1276",8523873
"1277",8523067
"1278",8523877
"1279",8522787
"1280",8522721
"1281",8523031
"1282",8523859
"1283",8523863
"1284",8523025
"1285",8523857
"1286",8523855
"1287",8522955
"1288",8523849
"1289",8522949
"1290",8522849
"1291",8522801
"1292",8522863
"1293",8523823
"1294",8522781
"1295",8522749
"1296",8522759
"1297",8523795
"1298",8522755
"1299",8522729
"1300",8523791
"1301",8522713
"1302",8523783
"1303",8522611
"1304",8522677
"1305",8523775
"1306",8522643
"1307",8523767
"1308",8524371
"1309",8522135
"1310",8524283
"1311",8524573
"1312",8524343
"1313",8524335
"1314",8524381
"1315",8521651
"1316",8524687
"1317",8522101
"1318",8531955
"1319",8522085
"1320",8531953
"1321",8524363
"1322",8531931
"1323",8522259
"1324",8523467
"1325",8523463
"1326",8523461
"1327",8523455
"1328",8523449
"1329",8523445
"1330",8523441
"1331",8523439
"1332",8523435
"1333",8520763
"1334",932080017
"1335",8539949
"1336",8539945
"1337",8539935
"1338",8539933
"1339",8539921
"1340",8539915
"1341",8539913
"1342",8539907
"1343",8539891
"1344",8539883
"1345",8539879
"1346",8539871
"1347",8539859
"1348",8539849
"1349",8539825
"1350",8539823
"1351",8539811
"1352",8539785
"1353",8539761
"1354",8539767
"1355",8539763
"1356",8539749
"1357",8539725
"1358",8540115
"1359",8539701
"1360",8539689
"1361",8539653
"1362",8539649
"1363",8539647
"1364",8540093
"1365",8540133
"1366",8539605
"1367",8539585
"1368",8539581
"1369",8539557
"1370",8539555
"1371",8540067
"1372",8539527
"1373",8539523
"1374",8539461
"1375",8539437
"1376",8539423
"1377",8539421
"1378",8539383
"1379",8539407
"1380",8539325
"1381",8539291
"1382",8539297
"1383",8539277
"1384",8539263
"1385",8539265
"1386",8540035
"1387",8539145
"1388",8539131
"1389",8539095
"1390",8539079
"1391",8539069
"1392",8540027
"1393",8539029
"1394",8539015
"1395",8540019
"1396",8540013
"1397",8538813
"1398",8538789
"1399",8538783
"1400",8538765
"1401",8540007
"1402",8540003
"1403",8538709
"1404",8540001
"1405",8538673
"1406",8538663
"1407",8538657
"1408",8539993
"1409",8538473
"1410",8538343
"1411",8538337
"1412",8538333
"1413",8538327
"1414",8538323
"1415",8538321
"1416",8538309
"1417",8538305
"1418",8538461
"1419",8538301
"1420",8539955
"1421",8540185
"1422",8539509
"1423",8540063
"1424",8539567
"1425",8539573
"1426",8545679
"1427",8548157
"1428",8545641
"1429",8545601
"1430",8547503
"1431",8545527
"1432",8545483
"1433",8545423
"1434",8548149
"1435",8547511
"1436",8545291
"1437",8545473
"1438",8547561
"1439",8548127
"1440",8547485
"1441",8545447
"1442",8545305
"1443",8545247
"1444",8545225
"1445",8545197
"1446",8545201
"1447",8545205
"1448",8545195
"1449",8545189
"1450",8545183
"1451",8545135
"1452",8545097
"1453",8545007
"1454",8544901
"1455",8547455
"1456",8544749
"1457",8544681
"1458",8544693
"1459",8544629
"1460",8544551
"1461",8544519
"1462",8544501
"1463",8544503
"1464",8544445
"1465",8544559
"1466",8544531
"1467",8544511
"1468",8544473
"1469",8544507
"1470",8544525
"1471",8544513
"1472",8544489
"1473",8544523
"1474",8544493
"1475",8544363
"1476",8544409
"1477",8548091
"1478",8545445
"1479",8545315
"1480",8545233
"1481",8545035
"1482",8544991
"1483",8544909
"1484",8544897
"1485",8544871
"1486",8545507
"1487",8548079
"1488",8545439
"1489",8545361
"1490",8545265
"1491",8545231
"1492",8545023
"1493",8545045
"1494",8545017
"1495",8545673
"1496",8548041
"1497",8545773
"1498",8545771
"1499",8545765
"1500",8545713
"1501",8547533
"1502",8545537
"1503",8545493
"1504",8547479
"1505",8545397
"1506",8545399
"1507",8545389
"1508",8545381
"1509",8545369
"1510",8545377
"1511",8545351
"1512",8545321
"1513",8545293
"1514",8545181
"1515",8545165
"1516",8545111
"1517",8545109
"1518",8545055
"1519",8547471
"1520",8545069
"1521",8545079
"1522",8545089
"1523",8545091
"1524",8545093
"1525",8545083
"1526",8545009
"1527",8544987
"1528",8544985
"1529",8544943
"1530",8544925
"1531",8544859
"1532",8544833
"1533",8547459
"1534",8544805
"1535",8544751
"1536",8544683
"1537",8544663
"1538",8544639
"1539",8544631
"1540",8544565
"1541",8544555
"1542",8544537
"1543",8544497
"1544",8544415
"1545",8544397
"1546",8544331
"1547",8544291
"1548",8547899
"1549",8546483
"1550",8546473
"1551",8546573
"1552",8546603
"1553",8546629
"1554",8546617
"1555",8546607
"1556",8546537
"1557",8546469
"1558",8546417
"1559",8546403
"1560",8546383
"1561",8546355
"1562",8546359
"1563",8546453
"1564",8546449
"1565",8546411
"1566",8546391
"1567",8546267
"1568",8546207
"1569",8546097
"1570",8546073
"1571",8547581
"1572",8547559
"1573",8548659
"1574",8545615
"1575",8548639
"1576",8548627
"1577",8545487
"1578",8547789
"1579",8545429
"1580",8548589
"1581",8548553
"1582",8548543
"1583",8549965
"1584",8548507
"1585",8548509
"1586",8548495
"1587",8548485
"1588",8548471
"1589",8548465
"1590",8551349
"1591",8550943
"1592",8550931
"1593",8552777
"1594",8550893
"1595",8551749
"1596",8551755
"1597",8551745
"1598",8551743
"1599",8551729
"1600",8551735
"1601",8551727
"1602",8551717
