"","COMID"
"1",8608865
"2",8608875
"3",8608943
"4",8608719
"5",8607985
"6",8607991
"7",8608721
"8",8608219
"9",8608221
"10",8607561
"11",8607651
"12",8607763
"13",8607775
"14",8608653
"15",8607751
"16",8607683
"17",8607595
"18",8607545
"19",8607539
"20",8607503
"21",8607371
"22",8607403
"23",8607317
"24",8607267
"25",8607269
"26",8607259
"27",8607257
"28",8607231
"29",8607197
"30",8607175
"31",8607165
"32",8607149
"33",8607151
"34",8607117
"35",8607055
"36",8607045
"37",8607043
"38",8606995
"39",8606911
"40",8606839
"41",8606827
"42",8606813
"43",8606773
"44",8606765
"45",8606747
"46",8606703
"47",8606695
"48",8606699
"49",8606665
"50",8606649
"51",8606645
"52",8609709
"53",8606633
"54",8609715
"55",8609723
"56",8609757
"57",8609763
"58",8609759
"59",8609767
"60",8609775
"61",8609817
"62",8609819
"63",8609811
"64",8609803
"65",8609841
"66",8609843
"67",8609837
"68",8609827
"69",8609825
"70",8609815
"71",8609793
"72",8609805
"73",8609823
"74",8609845
"75",8609853
"76",8609875
"77",8609925
"78",8609943
"79",8609965
"80",8609967
"81",8609997
"82",8610049
"83",8610109
"84",8610233
"85",8611863
"86",8610371
"87",8610437
"88",8610573
"89",8610591
"90",8610653
"91",8610669
"92",8610683
"93",8610707
"94",8610709
"95",8610805
"96",8610791
"97",8610765
"98",8611887
"99",8610763
"100",8610737
"101",8610667
"102",8610659
"103",8610657
"104",8610655
"105",8610607
"106",8610617
"107",8610601
"108",8610567
"109",8610521
"110",8610523
"111",8610527
"112",8610559
"113",8611877
"114",8610569
"115",8610465
"116",8610415
"117",8610327
"118",8610261
"119",8610257
"120",8610163
"121",8610055
"122",8610043
"123",8610111
"124",8610135
"125",8610207
"126",8610225
"127",8610231
"128",8610495
"129",8610509
"130",8610477
"131",8610511
"132",8610513
"133",8610369
"134",8610427
"135",8612115
"136",8610289
"137",8610301
"138",8616511
"139",8608923
"140",8608879
"141",8608899
"142",8610715
"143",8611859
"144",8610223
"145",8610205
"146",8610139
"147",8610165
"148",8610161
"149",8610107
"150",8610503
"151",8616513
"152",8608947
"153",8610087
