"","COMID"
"457",8506842
"458",8503102
"459",8507698
"460",8514420
"461",8507966
"462",8507976
"463",8507690
"464",8506982
"465",8506900
"466",8506854
"467",8506828
"468",8506818
"469",8506790
"470",8506732
"471",8506688
"472",8506664
"473",8507598
"474",8506466
"475",8506416
"476",8506388
"477",8507542
"478",8508098
"479",8501762
"480",8501742
"481",8501702
"482",8501678
"483",8501658
"484",8501638
"485",8501640
"486",8501642
"487",8501644
"488",8501632
"489",8501944
"490",8501940
"491",8501936
"492",8501930
"493",8501926
"494",8501564
"495",8501924
"496",8501542
"497",8501522
"498",8501510
"499",8501474
"500",8501446
"501",8501422
"502",8501504
"503",8502536
"504",8501400
"505",8502530
"506",8502520
"507",8502552
"508",8502554
"509",8502558
"510",8502574
"511",8501576
"512",8501584
"513",8501596
"514",8501614
"515",8501628
"516",8501654
"517",8501714
"518",8505864
"519",8505852
"520",8505830
"521",8505810
"522",8505790
"523",8507526
"524",8507516
"525",8505544
"526",8505442
"527",8505344
"528",8505342
"529",8505338
"530",8505376
"531",8505390
"532",8505392
"533",8505366
"534",8505356
"535",8507506
"536",8507492
"537",8507494
"538",8505270
"539",8507490
"540",8505242
"541",8507816
"542",8505208
"543",8505212
"544",8505210
"545",8507476
"546",8505140
"547",8507474
"548",8505116
"549",8505062
"550",8505056
"551",8505080
"552",8505068
"553",8507470
"554",8505038
"555",8507468
"556",8505024
"557",8504966
"558",8504952
"559",8507462
"560",8504918
"561",8504924
"562",8504916
"563",8504896
"564",8504888
"565",8504776
"566",8504856
"567",8506038
"568",8506032
"569",8506002
"570",8505946
"571",8507534
"572",8505960
"573",8505996
"574",8507536
"575",8506048
"576",8505982
"577",8506206
"578",8506232
"579",8506324
"580",8506374
"581",8506378
"582",8506364
"583",8506394
"584",8507570
"585",8507568
"586",8506408
"587",8506392
"588",8506384
"589",8506344
"590",8506248
"591",8507546
"592",8506262
"593",8506288
"594",8506278
"595",8506292
"596",8506228
"597",8506218
"598",8506190
"599",8506170
"600",8506180
"601",8506214
"602",8506216
"603",8506204
"604",8506092
"605",8505932
"606",8505806
"607",8505764
"608",8505756
"609",8505738
"610",8505736
"611",8505566
"612",8505494
"613",8505404
"614",8505324
"615",8505312
"616",8505278
"617",8505216
"618",8505106
"619",8505082
"620",8505074
"621",8505034
"622",8505004
"623",8505014
"624",8505000
"625",8508742
"626",8504980
"627",8508732
"628",8508734
"629",8508738
"630",8508728
"631",8508724
"632",8508718
"633",8508684
"634",8508678
"635",8508672
"636",8508650
"637",8508652
"638",8508660
"639",8508640
"640",8508636
"641",8508634
"642",8508628
"643",8508638
"644",8508632
"645",8508618
"646",8508596
"647",8508602
"648",8508594
"649",8508904
"650",8508906
"651",8508586
"652",8502748
"653",8502730
"654",8502708
"655",8502692
"656",8502672
"657",8502662
"658",8502658
"659",8502654
"660",8502642
"661",8502570
"662",8506796
"663",8506804
"664",8507656
"665",8506844
"666",8506880
"667",8506876
"668",8506884
"669",8506888
"670",8506896
"671",8506906
"672",8506908
"673",8506898
"674",8506850
"675",8507654
"676",8506810
"677",8506798
"678",8506690
"679",8506760
"680",8507106
"681",8514418
"682",8507972
"683",8507108
"684",8507978
"685",8507074
"686",8507694
"687",8507082
"688",8507080
"689",8507982
"690",8507064
"691",8507980
"692",8507054
"693",8507028
"694",8507014
"695",8507686
"696",8507050
"697",8507018
"698",8506996
"699",8507974
"700",8506976
"701",8502560
"702",8502546
"703",8502540
"704",8507704
"705",8508018
"706",8514428
"707",8507710
"708",8507714
"709",8507716
"710",8507222
"711",8507232
"712",8507234
"713",8507256
"714",8507728
"715",8507726
"716",8507240
"717",8507230
