"","COMID"
"1",8467597
"2",8467601
"3",8467611
"4",8466993
"5",8467603
"6",8467657
"7",8466989
"8",8466977
"9",8466979
"10",8466973
"11",8466967
"12",8466961
"13",8466953
"14",8466937
"15",8466915
"16",8466907
"17",8466897
"18",8466875
"19",8466877
"20",8466923
"21",8466933
"22",8466935
"23",8466965
"24",8467565
"25",8466849
"26",8466839
"27",8466833
"28",8466793
"29",8466783
"30",8466759
"31",8466701
"32",8466693
"33",8465353
"34",8466687
"35",8465329
"36",8465429
"37",8465259
"38",8465239
"39",8465231
"40",8465221
"41",8465195
"42",8465187
"43",8465159
"44",8465135
"45",8465119
"46",8465077
"47",8465071
"48",8465065
"49",8465043
"50",8465027
"51",8465025
"52",8465015
"53",8464983
"54",8464979
"55",8464953
"56",8464955
"57",8464933
"58",8464911
"59",8465421
"60",8464883
"61",8464879
"62",8464887
"63",8464885
"64",8464871
"65",8464877
"66",8464875
"67",8464865
"68",8464855
"69",8464839
"70",8465791
"71",8464829
"72",8466031
"73",166178644
"74",166178643
"75",8466029
"76",8477102
"77",8477092
"78",8477086
"79",8477082
"80",8477078
"81",8477088
"82",8476982
"83",8476972
"84",8477034
"85",8477032
"86",8477028
"87",8477016
"88",8477014
"89",8477006
"90",8476998
"91",8477022
"92",8477002
"93",8476994
"94",8476978
"95",8476962
"96",8476958
"97",8476948
"98",8476918
"99",8476950
"100",8476942
"101",8476924
"102",8477240
"103",8476932
"104",8476904
"105",8476926
"106",8476902
"107",8476898
"108",8484052
"109",8484054
"110",8476930
"111",8484062
"112",8476934
"113",8476988
"114",8484070
"115",8477012
"116",8484168
"117",8484172
"118",8477066
"119",8477054
"120",8477242
"121",8477050
"122",8477024
"123",8476940
"124",8476910
"125",8471043
"126",8467615
"127",8466975
"128",8466847
"129",8466825
"130",8467563
"131",8466739
"132",8466671
"133",8466699
"134",8466659
"135",8465355
"136",8466645
"137",8465313
"138",8465293
"139",8465271
"140",8465241
"141",8465427
"142",8465151
"143",8465147
"144",8464881
"145",8464849
"146",8464843
"147",8464819
"148",8464807
"149",8464803
"150",8465415
"151",8464795
"152",8464793
"153",8464773
"154",8464753
"155",8464725
"156",8464723
"157",8464713
"158",8464707
"159",8464699
"160",8464693
"161",8464675
"162",8464669
"163",8464645
"164",8464647
"165",8464641
"166",8464827
"167",8464815
"168",8465407
"169",8464777
"170",8464775
"171",8464763
"172",8464741
"173",8464735
"174",8465755
"175",8465733
"176",8466059
"177",8466061
"178",8465781
"179",8465769
"180",8465197
"181",8465193
"182",8465181
"183",8465177
"184",8465167
"185",8465131
"186",8465101
"187",8465097
"188",8465423
"189",8465827
"190",8465075
"191",8465829
"192",8465841
"193",8465863
"194",8465853
"195",8466043
"196",8466795
"197",8466813
"198",8466809
"199",8466797
"200",8466749
"201",8466747
"202",8466733
"203",8466721
"204",8466773
"205",8466779
"206",8466763
"207",8466745
"208",8466731
"209",8466703
"210",8466681
"211",8466667
"212",8468901
"213",8466675
"214",8468199
"215",8468769
"216",8468171
"217",8467189
"218",8471049
"219",8467613
"220",8467217
"221",8467219
"222",8467139
"223",8467143
"224",8467153
"225",8467211
"226",8467213
"227",8467221
"228",8467205
"229",8467193
"230",8467161
"231",8467147
"232",8467135
"233",8467571
"234",8467567
"235",8467055
"236",8467179
"237",8467177
"238",8467145
"239",8467133
"240",8467095
"241",8467091
"242",8467097
"243",8467099
"244",8467071
"245",8467085
"246",8467075
"247",8467043
"248",8467045
"249",8467101
"250",8467171
"251",8467183
"252",8467209
"253",8467197
"254",8467225
"255",8468499
"256",8467227
"257",8468519
"258",8468555
"259",8468557
"260",8468571
"261",8468569
"262",8468611
"263",8468647
"264",8468653
"265",8468797
"266",8468687
"267",8468811
"268",8468801
"269",8468669
"270",8468649
"271",8468791
"272",8468633
"273",8468615
"274",8468601
"275",8468563
"276",8468509
"277",8468467
"278",8468465
"279",8468441
"280",8468321
"281",8468283
"282",8464977
"283",8464921
"284",8464901
"285",8465273
"286",8465283
"287",8465281
"288",8467077
"289",8467659
"290",8467037
"291",8467009
"292",8466951
"293",8466891
"294",8466821
"295",8466741
"296",8466719
"297",8466661
"298",8466685
"299",8465223
"300",8465215
"301",8465461
"302",8465235
"303",8466901
"304",8466787
"305",8466771
"306",8466711
"307",8465263
"308",8465249
"309",8465139
"310",8465087
"311",8465061
"312",8465049
"313",8464731
"314",8464719
"315",8464691
"316",8464683
"317",8464663
"318",8464659
"319",8464651
"320",8464653
"321",8464639
"322",8465737
"323",8465505
"324",8465731
"325",8467187
"326",8467617
"327",8468189
"328",8465365
"329",8466649
"330",8465363
"331",8466971
"332",8466911
"333",8466865
"334",8466781
"335",8467633
"336",8466757
"337",8467561
"338",8465145
"339",8465125
"340",8465237
"341",8465495
"342",8465229
"343",8465183
"344",8465157
"345",8465079
"346",8465133
"347",8465103
"348",8465069
"349",8465037
"350",8465041
"351",8465023
"352",8465021
"353",8465007
"354",8464989
"355",8464975
"356",8464963
"357",8464937
"358",8464927
"359",8464915
"360",8464891
"361",8464837
"362",8465419
"363",8465443
"364",8464785
"365",8464981
"366",8464939
"367",8464913
"368",8465483
"369",8464907
"370",8464867
"371",8464863
"372",8464873
"373",8464861
"374",8464859
"375",8464831
"376",8464825
"377",8465775
"378",8465789
"379",8464869
"380",8464899
"381",8464897
"382",8464905
"383",8464909
"384",8464895
"385",8464893
"386",8464945
"387",8464947
"388",8464943
"389",8464925
"390",8464967
"391",8465487
"392",8465001
"393",8465017
"394",8465045
"395",8465067
"396",8465121
"397",8465331
"398",8466695
"399",8468163
"400",8466691
"401",8466777
"402",8466841
"403",8466863
"404",8466879
"405",8466917
"406",8466931
"407",8466997
"408",8466969
"409",8466921
"410",8467005
"411",8466899
"412",8467007
"413",8466963
"414",8467011
"415",8466991
"416",8467107
"417",8467599
"418",8465759
"419",8466063
"420",8465753
"421",8466065
"422",8464643
"423",8467655
"424",8467569
"425",8467653
"426",8468823
"427",8466069
"428",8468159
"429",8465875
"430",8468175
"431",8465347
"432",8465319
"433",8466627
"434",8465345
"435",8465463
"436",25342185
"437",8468837
"438",8468835
"439",8468831
"440",8465449
"441",8465451
"442",166178645
"443",8477228
"444",8477004
"445",8477260
"446",8477038
"447",8477244
"448",8477230
"449",8476786
"450",8476778
"451",8476214
"452",8476888
"453",8477060
"454",8477058
"455",8477062
"456",8476784
"457",8476218
"458",8476766
"459",8476182
"460",8476158
"461",8476806
"462",8477096
"463",8477236
"464",8476378
"465",8476380
"466",8476818
"467",8476406
"468",8477160
"469",8477162
"470",8476396
"471",8477168
"472",8476426
"473",8476210
"474",8476966
"475",8476208
"476",8476172
"477",8476174
"478",8476074
"479",8476938
"480",8476072
"481",8476050
"482",8476748
"483",8476098
"484",8476960
"485",8476100
"486",8476114
"487",8476124
"488",8476000
"489",8477262
"490",8476144
"491",8476992
"492",8476084
"493",8476338
"494",8477074
"495",8476292
"496",8476288
"497",8477238
"498",8476946
"499",8476034
"500",8476044
"501",8476052
"502",8476162
"503",8476128
"504",8476106
"505",8476102
"506",8476018
"507",8476922
"508",8476002
"509",8475988
"510",8476250
"511",8477030
"512",8476258
"513",8477046
"514",8476312
"515",8476332
"516",8476362
"517",8476776
"518",8476996
"519",8476038
"520",8477266
"521",8476366
"522",8476804
"523",8477090
"524",8477084
"525",8476364
"526",8476798
"527",8476800
"528",8477072
"529",8477068
"530",8476324
"531",8476346
"532",8476382
"533",8476796
"534",8476268
"535",8477056
"536",8476794
"537",8477052
"538",8477252
"539",8477254
"540",8476226
"541",8476990
"542",8476286
"543",8477036
"544",8476232
"545",8477018
"546",8476228
"547",8477246
"548",8477234
"549",8476224
"550",8477008
"551",8477026
"552",8476222
"553",8476212
"554",8477020
"555",8476296
"556",8476118
"557",8476112
"558",8476964
"559",8476974
"560",8476764
"561",8476762
"562",8476142
"563",8476750
"564",8476914
"565",8476954
"566",8476060
"567",8476066
"568",8476092
"569",8476068
"570",8476076
"571",8476088
"572",8476006
"573",8476928
"574",8476012
"575",8476046
"576",8475996
"577",8476908
"578",8476022
"579",8476920
"580",8476020
"581",8476912
"582",8476014
"583",8476010
"584",8476132
"585",8476976
"586",8477210
"587",8476190
"588",8477232
"589",8476200
"590",8477010
"591",8476202
"592",8476986
"593",8476780
"594",8477000
"595",8476770
"596",8476970
"597",8476768
"598",8476220
"599",8476980
"600",8476968
"601",8476772
"602",8476156
"603",8476140
"604",8476774
"605",8476984
"606",8476802
"607",8477064
"608",8477080
"609",8475986
"610",8475994
"611",8476040
"612",8477250
"613",8476026
"614",8477264
"615",8476042
"616",8477248
"617",8476032
"618",8475964
"619",8475998
"620",8476906
"621",8475968
"622",8476894
"623",8475974
"624",8475972
"625",8475970
"626",8476896
"627",8475982
"628",8476900
"629",8476064
"630",8476936
"631",8476376
"632",8476916
"633",8476030
"634",8477100
"635",8475980
"636",8476058
"637",8477042
"638",8477048
"639",8476944
"640",8476952
"641",8465367
"642",8466641
"643",8465143
"644",8464729
"645",8464701
"646",8465765
"647",8465099
"648",8465093
"649",8465053
"650",8465031
"651",8465013
"652",8465055
"653",8465815
"654",8465823
"655",8465817
"656",8465811
"657",8465805
"658",8465807
"659",8465809
"660",8465861
"661",8465847
"662",8465845
"663",8466047
"664",8466045
"665",8465169
"666",8465175
"667",8465189
"668",8465207
"669",8465209
"670",8465205
"671",8465201
"672",8465851
"673",8466775
"674",8466689
"675",8468179
"676",8468183
"677",8468197
"678",8468223
"679",8468227
"680",8467031
"681",8467025
"682",8467021
"683",8467003
"684",8466945
"685",8466925
"686",8466889
"687",8467639
"688",8467181
"689",8467169
"690",8467125
"691",8467115
"692",8468903
"693",8467083
"694",8468403
"695",8468381
"696",8468377
"697",8468309
"698",8468333
"699",8468565
"700",8468559
"701",8468503
"702",8468459
"703",8468481
"704",8468477
"705",8468409
"706",8468413
"707",8468407
"708",8468367
"709",8468775
"710",8468273
"711",8468269
"712",8468247
"713",8468245
"714",8468225
"715",8468209
"716",8466053
"717",8468643
"718",8468645
"719",8468789
"720",8468607
"721",8468603
"722",8468573
"723",8468505
"724",8468433
"725",8468785
"726",8468695
"727",8468697
"728",8468701
"729",8468717
"730",8468721
"731",8468815
"732",8467105
"733",8467195
"734",8467237
"735",8467257
"736",8467303
"737",8467343
"738",8467347
"739",8467373
"740",8467399
"741",8467421
"742",8467435
"743",8467441
"744",8467451
"745",8467583
"746",8467175
"747",8467573
"748",8467625
"749",8467287
"750",8467353
"751",8466823
"752",8466805
"753",8466801
"754",8466753
"755",8468665
"756",8468651
"757",8465171
"758",8465165
"759",8465155
"760",8468629
"761",8468577
"762",8468527
"763",8468551
"764",8466727
"765",8466679
"766",8466635
"767",8465343
"768",8465339
"769",8465341
"770",8465467
"771",8465291
"772",8465499
"773",8467215
"774",8467121
"775",8467059
"776",8467637
"777",8464715
"778",8464687
"779",8466725
"780",8466715
"781",8466653
"782",8466633
"783",8466623
"784",8466625
"785",8465323
"786",8465303
"787",8465299
"788",8465305
"789",8465307
"790",8465503
"791",8467203
"792",8467307
"793",8468679
"794",8468681
"795",8468699
"796",8468691
"797",8468685
"798",8466057
"799",8468663
"800",8468703
"801",8468795
"802",8467231
"803",8467285
"804",8465411
"805",8464799
"806",8464791
"807",8464781
"808",8464767
"809",8464755
"810",8464749
"811",8464739
"812",8464711
"813",8468285
"814",8468239
"815",8468275
"816",8464985
"817",8465095
"818",8468655
"819",8467137
"820",8467155
"821",8467159
"822",8467065
"823",8467029
"824",8467053
"825",8466981
"826",8467131
"827",8467093
"828",8467061
"829",8467089
"830",8467073
"831",8467027
"832",8467069
"833",8467067
"834",8466995
"835",8466985
"836",8466943
"837",8466929
"838",8467595
"839",8466905
"840",8466867
"841",8467103
"842",8467109
"843",8467127
"844",8467041
"845",8466957
"846",8466947
"847",8468315
"848",8466873
"849",8467129
"850",8467185
"851",8467623
"852",8468495
"853",8468521
"854",8468583
"855",8468585
"856",8468537
"857",8468855
"858",8468525
"859",8468799
"860",8468667
"861",8468631
"862",8468597
"863",8468627
"864",8468473
"865",8468335
"866",8468313
"867",8468351
"868",8468443
"869",8468469
"870",8468511
"871",8468567
"872",8468533
"873",8468515
"874",8468375
"875",8468773
"876",8468805
"877",8468689
"878",8468639
"879",8468635
"880",8468589
"881",8468617
"882",8468637
"883",8468587
"884",8468593
"885",8468591
"886",8468853
"887",8468541
"888",8467245
"889",8467243
"890",8467049
"891",8467087
"892",8467157
"893",8467201
"894",8467241
"895",8467173
"896",8467149
"897",8467207
"898",8467223
"899",8467259
"900",8467269
"901",8467289
"902",8467293
"903",8467301
"904",8467327
"905",8467331
"906",8467575
"907",8467581
"908",8467391
"909",8467255
"910",8467141
"911",8467239
"912",8467253
"913",8467297
"914",8467577
"915",8466855
"916",8466737
"917",8465371
"918",8466669
"919",8465369
"920",8466651
"921",8465351
"922",8465311
"923",8465457
"924",8465459
"925",8465361
"926",8466789
"927",8466881
"928",8466829
"929",8466853
"930",8466735
"931",8466819
"932",8466717
"933",8466683
"934",8466643
"935",8467593
"936",8466743
"937",8466785
"938",8466769
"939",8466713
"940",8466729
"941",8467559
"942",8466647
"943",8467555
"944",8465357
"945",8465317
"946",8465309
"947",8465497
"948",8465431
"949",8465255
"950",8465219
"951",8465213
"952",8465161
"953",8465127
"954",8465085
"955",8465425
"956",8465109
"957",8465243
"958",8465433
"959",8465315
"960",8465247
"961",8465047
"962",8465063
"963",8465089
"964",8465141
"965",8465081
"966",8465035
