"","COMID"
"1",4690239
"2",4690241
"3",4690245
"4",4690425
"5",4690249
"6",4690423
"7",4690253
"8",4690257
"9",4690275
"10",4689871
"11",4690267
"12",4690271
"13",4689823
"14",4689841
"15",4689901
"16",4689895
"17",4689887
"18",4689903
"19",4689905
"20",4689911
"21",4689913
"22",4689889
"23",4689859
"24",4689851
"25",4689883
"26",4689891
"27",4689893
"28",4689847
"29",4690121
"30",4689835
"31",4689813
"32",4689743
"33",4689731
"34",4689741
"35",4689777
"36",4689801
"37",4689843
"38",4689853
"39",4689885
"40",4689935
"41",4689945
"42",4689955
"43",4689917
"44",4689927
"45",4689925
"46",4689923
"47",4689947
"48",4689941
"49",4689963
"50",4689987
"51",4690655
"52",4690001
"53",4690715
"54",4690751
"55",4690755
"56",4690777
"57",4690785
"58",4691113
"59",4690795
"60",4690743
"61",4690769
"62",4691013
"63",4690227
"64",4690231
"65",4693121
"66",4690427
"67",4690273
"68",4690263
"69",4690281
"70",4690279
"71",4691145
"72",4691143
"73",4689315
"74",4690233
"75",4689309
"76",4689303
"77",4689283
"78",4689383
"79",4689381
"80",4690091
"81",4689271
"82",4689223
"83",4689165
"84",4689129
"85",4689045
"86",4689111
"87",4690229
"88",4688975
"89",4689033
"90",4690225
"91",4689865
"92",4689771
"93",4689701
"94",4689635
"95",4689583
"96",4689565
"97",4689533
"98",4689837
"99",4689797
"100",4689791
"101",4689657
"102",4689647
"103",4690113
"104",4690109
"105",4689555
"106",4689543
"107",4689537
"108",4689485
"109",4689481
"110",4689467
"111",4689451
"112",4689447
"113",4689393
"114",4689357
"115",4689319
"116",4689311
"117",4689291
"118",4689259
"119",4689213
"120",4689243
"121",4689261
"122",4689301
"123",4689343
"124",4689369
"125",4689387
"126",4689403
"127",4689415
"128",4689435
"129",4689439
"130",4689457
"131",4689475
"132",4689507
"133",4689509
"134",4689489
"135",4689465
"136",4689873
"137",4689793
"138",4689781
"139",4689735
"140",4689711
"141",4689671
"142",4689653
"143",4689625
"144",4690723
"145",4689981
"146",4690741
"147",4690747
"148",4690797
"149",4690867
"150",4690899
"151",4690929
"152",4690947
"153",4691073
"154",4690127
"155",4690661
"156",4690699
"157",4690729
"158",4690735
"159",4690873
"160",4690935
"161",4690999
"162",4689953
"163",4690695
"164",4690761
"165",4690857
"166",4691123
"167",4690957
"168",4690971
"169",4691125
"170",4690979
"171",4690995
"172",4691005
"173",4691025
"174",4691029
"175",4691031
"176",4691035
"177",4691055
"178",4691065
"179",4691079
"180",4691089
"181",4689943
"182",4690637
"183",4690667
"184",4690677
"185",4690739
"186",4690783
"187",4690845
"188",4690919
"189",4691045
"190",4690967
"191",4690277
"192",4689929
"193",4690639
