"","COMID"
"1",22338099
"2",22338089
"3",22338093
"4",22337975
"5",22338085
"6",22338083
"7",22337749
"8",22337729
"9",22337727
"10",22337717
"11",22336429
"12",22337713
"13",22336417
"14",22336407
"15",22336527
"16",22336383
"17",22336379
"18",22336333
"19",22336309
"20",22336305
"21",22336293
"22",22336287
"23",22337741
"24",22338123
"25",22338127
"26",22338107
"27",22340557
"28",22338109
"29",22338103
"30",22337739
"31",22336285
"32",22336295
"33",22337977
"34",22338087
"35",22337753
"36",22337439
"37",22336423
"38",22337707
"39",22337513
"40",22337421
"41",22337419
"42",22337415
"43",22337385
"44",22337379
"45",22337371
"46",22337339
"47",22337511
"48",22338095
"49",22338097
"50",22337773
"51",22337769
"52",22337761
"53",22336531
"54",22336349
"55",22336325
"56",22336313
"57",22336289
"58",22336301
"59",22337781
"60",22337783
"61",22343555
"62",22338129
"63",22338105
"64",22337785
"65",22337763
"66",22343551
"67",22338091
"68",22337759
"69",22337747
"70",22337745
"71",22337725
"72",22336431
"73",22336415
"74",22336575
"75",22337709
"76",22336573
"77",22336411
"78",22336409
"79",22336399
"80",22336365
"81",22336363
"82",22336353
"83",22336311
"84",22336317
"85",22336579
"86",22336565
"87",22336563
"88",22336381
"89",22336343
"90",22336307
"91",22336303
"92",22336291
"93",22336335
"94",22336323
"95",22336385
"96",22336403
"97",22336533
"98",22337715
"99",22337719
"100",22338113
"101",22337751
"102",22337775
"103",22338101
"104",22343553
"105",22338115
"106",22338125
"107",22337737
"108",22337755
"109",22337731
"110",22337723
"111",22337457
"112",22338427
"113",22336425
"114",22337705
"115",22337417
"116",22337413
"117",22337377
"118",22337337
"119",22337333
"120",22337375
"121",22337355
"122",22337347
"123",22337387
"124",22337423
"125",22337433
"126",22337533
"127",22337757
"128",22337735
"129",22336419
"130",22336583
"131",22336525
"132",22336395
"133",22336397
"134",22336393
"135",22336391
"136",22336387
"137",22336361
"138",22336357
"139",22336347
"140",22336319
"141",22336331
"142",22336355
"143",22336367
"144",22337711
"145",22336299
"146",22336297
"147",22336315
"148",22336561
"149",22336577
"150",22336321
"151",22336327
"152",22336341
"153",22336351
"154",22337771
"155",22337789
"156",22337765
"157",22337767
"158",22337787
"159",22337733
"160",22337353
"161",22337349
"162",22336421
"163",22337721
"164",22337743
"165",22336427
"166",22336581
"167",22336405
"168",22336529
"169",22336401
"170",22336389
"171",22336377
"172",22336373
"173",22336345
"174",22336359
"175",22336339
"176",22336329
"177",22337779
"178",22337777
"179",22336569
"180",22336567
"181",22336413
"182",22336435
"183",22336371
"184",22336369
"185",22336375
"186",22336337
"187",22336571
"188",22336433
