"","COMID"
"1",8467597
"2",8467601
"3",8467611
"4",8466993
"5",8467603
"6",8467657
"7",8466989
"8",8466977
"9",8466979
"10",8466973
"11",8466967
"12",8466961
"13",8466953
"14",8466937
"15",8466915
"16",8466907
"17",8466897
"18",8466875
"19",8466877
"20",8466923
"21",8466933
"22",8466935
"23",8466965
"24",8467565
"25",8466849
"26",8466839
"27",8466833
"28",8466793
"29",8466783
"30",8466759
"31",8466701
"32",8466693
"33",8465353
"34",8466687
"35",8465329
"36",8465429
"37",8465259
"38",8465239
"39",8465231
"40",8465221
"41",8465195
"42",8465187
"43",8465159
"44",8465135
"45",8465119
"46",8465077
"47",8465071
"48",8465065
"49",8465043
"50",8465027
"51",8465025
"52",8465015
"53",8464983
"54",8464979
"55",8464953
"56",8464955
"57",8464933
"58",8464911
"59",8465421
"60",8464883
"61",8464879
"62",8464887
"63",8464885
"64",8464871
"65",8464877
"66",8464875
"67",8464865
"68",8464855
"69",8464839
"70",8465791
"71",8464829
"72",8466031
"73",166178644
"74",166178643
"75",8466029
"76",8476948
"77",8476918
"78",8476950
"79",8476942
"80",8476924
"81",8477240
"82",8476932
"83",8476904
"84",8476926
"85",8476902
"86",8476898
"87",8484052
"88",8484054
"89",8476930
"90",8484062
"91",8484168
"92",8476910
"93",8471043
"94",8467615
"95",8466975
"96",8466847
"97",8466825
"98",8467563
"99",8466739
"100",8466671
"101",8466699
"102",8466659
"103",8465355
"104",8466645
"105",8465313
"106",8465293
"107",8465271
"108",8465241
"109",8465427
"110",8465151
"111",8465147
"112",8464881
"113",8464849
"114",8464843
"115",8464819
"116",8464807
"117",8464803
"118",8465415
"119",8464795
"120",8464793
"121",8464773
"122",8464753
"123",8464725
"124",8464723
"125",8464713
"126",8464707
"127",8464699
"128",8464693
"129",8464675
"130",8464669
"131",8464645
"132",8464647
"133",8464641
"134",8464827
"135",8464815
"136",8465407
"137",8464777
"138",8464775
"139",8464763
"140",8464741
"141",8464735
"142",8465755
"143",8465733
"144",8466059
"145",8466061
"146",8465781
"147",8465769
"148",8465197
"149",8465193
"150",8465181
"151",8465177
"152",8465167
"153",8465131
"154",8465101
"155",8465097
"156",8465423
"157",8465827
"158",8465075
"159",8465829
"160",8465841
"161",8465863
"162",8465853
"163",8466043
"164",8466795
"165",8466813
"166",8466809
"167",8466797
"168",8466749
"169",8466747
"170",8466733
"171",8466721
"172",8466773
"173",8466779
"174",8466763
"175",8466745
"176",8466731
"177",8466703
"178",8466681
"179",8466667
"180",8468901
"181",8466675
"182",8468199
"183",8468769
"184",8468171
"185",8467189
"186",8471049
"187",8467613
"188",8467217
"189",8467219
"190",8467139
"191",8467143
"192",8467153
"193",8467211
"194",8467213
"195",8467221
"196",8467205
"197",8467193
"198",8467161
"199",8467147
"200",8467135
"201",8467571
"202",8467567
"203",8467055
"204",8467179
"205",8467177
"206",8467145
"207",8467133
"208",8467095
"209",8467091
"210",8467097
"211",8467099
"212",8467071
"213",8467085
"214",8467075
"215",8467043
"216",8467045
"217",8467101
"218",8467171
"219",8467183
"220",8467209
"221",8467197
"222",8467225
"223",8468499
"224",8467227
"225",8468519
"226",8468555
"227",8468557
"228",8468571
"229",8468569
"230",8468611
"231",8468647
"232",8468653
"233",8468797
"234",8468687
"235",8468811
"236",8468801
"237",8468669
"238",8468649
"239",8468791
"240",8468633
"241",8468615
"242",8468601
"243",8468563
"244",8468509
"245",8468467
"246",8468465
"247",8468441
"248",8468321
"249",8468283
"250",8464977
"251",8464921
"252",8464901
"253",8465273
"254",8465283
"255",8465281
"256",8467077
"257",8467659
"258",8467037
"259",8467009
"260",8466951
"261",8466891
"262",8466821
"263",8466741
"264",8466719
"265",8466661
"266",8466685
"267",8465223
"268",8465215
"269",8465461
"270",8465235
"271",8466901
"272",8466787
"273",8466771
"274",8466711
"275",8465263
"276",8465249
"277",8465139
"278",8465087
"279",8465061
"280",8465049
"281",8464731
"282",8464719
"283",8464691
"284",8464683
"285",8464663
"286",8464659
"287",8464651
"288",8464653
"289",8464639
"290",8465737
"291",8465505
"292",8465731
"293",8467187
"294",8467617
"295",8468189
"296",8465365
"297",8466649
"298",8465363
"299",8466971
"300",8466911
"301",8466865
"302",8466781
"303",8467633
"304",8466757
"305",8467561
"306",8465145
"307",8465125
"308",8465237
"309",8465495
"310",8465229
"311",8465183
"312",8465157
"313",8465079
"314",8465133
"315",8465103
"316",8465069
"317",8465037
"318",8465041
"319",8465023
"320",8465021
"321",8465007
"322",8464989
"323",8464975
"324",8464963
"325",8464937
"326",8464927
"327",8464915
"328",8464891
"329",8464837
"330",8465419
"331",8465443
"332",8464785
"333",8464981
"334",8464939
"335",8464913
"336",8465483
"337",8464907
"338",8464867
"339",8464863
"340",8464873
"341",8464861
"342",8464859
"343",8464831
"344",8464825
"345",8465775
"346",8465789
"347",8464869
"348",8464899
"349",8464897
"350",8464905
"351",8464909
"352",8464895
"353",8464893
"354",8464945
"355",8464947
"356",8464943
"357",8464925
"358",8464967
"359",8465487
"360",8465001
"361",8465017
"362",8465045
"363",8465067
"364",8465121
"365",8465331
"366",8466695
"367",8468163
"368",8466691
"369",8466777
"370",8466841
"371",8466863
"372",8466879
"373",8466917
"374",8466931
"375",8466997
"376",8466969
"377",8466921
"378",8467005
"379",8466899
"380",8467007
"381",8466963
"382",8467011
"383",8466991
"384",8467107
"385",8467599
"386",8465759
"387",8466063
"388",8465753
"389",8466065
"390",8464643
"391",8467655
"392",8467569
"393",8467653
"394",8468823
"395",8466069
"396",8468159
"397",8465875
"398",8468175
"399",8465347
"400",8465319
"401",8466627
"402",8465345
"403",8465463
"404",25342185
"405",8468837
"406",8468835
"407",8468831
"408",8465449
"409",8465451
"410",166178645
"411",8476748
"412",8476000
"413",8477262
"414",8477238
"415",8476946
"416",8476034
"417",8476044
"418",8476052
"419",8476018
"420",8476922
"421",8476002
"422",8475988
"423",8476038
"424",8477266
"425",8476750
"426",8476914
"427",8476954
"428",8476060
"429",8476066
"430",8476092
"431",8476068
"432",8476076
"433",8476088
"434",8476006
"435",8476928
"436",8476012
"437",8476046
"438",8475996
"439",8476908
"440",8476022
"441",8476920
"442",8476020
"443",8476912
"444",8476014
"445",8476010
"446",8476040
"447",8477250
"448",8476026
"449",8477264
"450",8476032
"451",8475964
"452",8475998
"453",8476906
"454",8475968
"455",8476894
"456",8475974
"457",8475972
"458",8475970
"459",8476896
"460",8475982
"461",8476900
"462",8476916
"463",8476030
"464",8475980
"465",8476944
"466",8476952
"467",8465367
"468",8466641
"469",8465143
"470",8464729
"471",8464701
"472",8465765
"473",8465099
"474",8465093
"475",8465053
"476",8465031
"477",8465013
"478",8465055
"479",8465815
"480",8465823
"481",8465817
"482",8465811
"483",8465805
"484",8465807
"485",8465809
"486",8465861
"487",8465847
"488",8465845
"489",8466047
"490",8466045
"491",8465169
"492",8465175
"493",8465189
"494",8465207
"495",8465209
"496",8465205
"497",8465201
"498",8465851
"499",8466775
"500",8466689
"501",8468179
"502",8468183
"503",8468197
"504",8468223
"505",8468227
"506",8467031
"507",8467025
"508",8467021
"509",8467003
"510",8466945
"511",8466925
"512",8466889
"513",8467639
"514",8467181
"515",8467169
"516",8467125
"517",8467115
"518",8468903
"519",8467083
"520",8468403
"521",8468381
"522",8468377
"523",8468309
"524",8468333
"525",8468565
"526",8468559
"527",8468503
"528",8468459
"529",8468481
"530",8468477
"531",8468409
"532",8468413
"533",8468407
"534",8468367
"535",8468775
"536",8468273
"537",8468269
"538",8468247
"539",8468245
"540",8468225
"541",8468209
"542",8466053
"543",8468643
"544",8468645
"545",8468789
"546",8468607
"547",8468603
"548",8468573
"549",8468505
"550",8468433
"551",8468785
"552",8468695
"553",8468697
"554",8468701
"555",8468717
"556",8468721
"557",8468815
"558",8467105
"559",8467195
"560",8467237
"561",8467257
"562",8467303
"563",8467343
"564",8467347
"565",8467373
"566",8467399
"567",8467421
"568",8467435
"569",8467441
"570",8467451
"571",8467583
"572",8467175
"573",8467573
"574",8467625
"575",8467287
"576",8467353
"577",8466823
"578",8466805
"579",8466801
"580",8466753
"581",8468665
"582",8468651
"583",8465171
"584",8465165
"585",8465155
"586",8468629
"587",8468577
"588",8468527
"589",8468551
"590",8466727
"591",8466679
"592",8466635
"593",8465343
"594",8465339
"595",8465341
"596",8465467
"597",8465291
"598",8465499
"599",8467215
"600",8467121
"601",8467059
"602",8467637
"603",8464715
"604",8464687
"605",8466725
"606",8466715
"607",8466653
"608",8466633
"609",8466623
"610",8466625
"611",8465323
"612",8465303
"613",8465299
"614",8465305
"615",8465307
"616",8465503
"617",8467203
"618",8467307
"619",8468679
"620",8468681
"621",8468699
"622",8468691
"623",8468685
"624",8466057
"625",8468663
"626",8468703
"627",8468795
"628",8467231
"629",8467285
"630",8465411
"631",8464799
"632",8464791
"633",8464781
"634",8464767
"635",8464755
"636",8464749
"637",8464739
"638",8464711
"639",8468285
"640",8468239
"641",8468275
"642",8464985
"643",8465095
"644",8468655
"645",8467137
"646",8467155
"647",8467159
"648",8467065
"649",8467029
"650",8467053
"651",8466981
"652",8467131
"653",8467093
"654",8467061
"655",8467089
"656",8467073
"657",8467027
"658",8467069
"659",8467067
"660",8466995
"661",8466985
"662",8466943
"663",8466929
"664",8467595
"665",8466905
"666",8466867
"667",8467103
"668",8467109
"669",8467127
"670",8467041
"671",8466957
"672",8466947
"673",8468315
"674",8466873
"675",8467129
"676",8467185
"677",8467623
"678",8468495
"679",8468521
"680",8468583
"681",8468585
"682",8468537
"683",8468855
"684",8468525
"685",8468799
"686",8468667
"687",8468631
"688",8468597
"689",8468627
"690",8468473
"691",8468335
"692",8468313
"693",8468351
"694",8468443
"695",8468469
"696",8468511
"697",8468567
"698",8468533
"699",8468515
"700",8468375
"701",8468773
"702",8468805
"703",8468689
"704",8468639
"705",8468635
"706",8468589
"707",8468617
"708",8468637
"709",8468587
"710",8468593
"711",8468591
"712",8468853
"713",8468541
"714",8467245
"715",8467243
"716",8467049
"717",8467087
"718",8467157
"719",8467201
"720",8467241
"721",8467173
"722",8467149
"723",8467207
"724",8467223
"725",8467259
"726",8467269
"727",8467289
"728",8467293
"729",8467301
"730",8467327
"731",8467331
"732",8467575
"733",8467581
"734",8467391
"735",8467255
"736",8467141
"737",8467239
"738",8467253
"739",8467297
"740",8467577
"741",8466855
"742",8466737
"743",8465371
"744",8466669
"745",8465369
"746",8466651
"747",8465351
"748",8465311
"749",8465457
"750",8465459
"751",8465361
"752",8466789
"753",8466881
"754",8466829
"755",8466853
"756",8466735
"757",8466819
"758",8466717
"759",8466683
"760",8466643
"761",8467593
"762",8466743
"763",8466785
"764",8466769
"765",8466713
"766",8466729
"767",8467559
"768",8466647
"769",8467555
"770",8465357
"771",8465317
"772",8465309
"773",8465497
"774",8465431
"775",8465255
"776",8465219
"777",8465213
"778",8465161
"779",8465127
"780",8465085
"781",8465425
"782",8465109
"783",8465243
"784",8465433
"785",8465315
"786",8465247
"787",8465047
"788",8465063
"789",8465089
"790",8465141
"791",8465081
"792",8465035
"793",8465039
"794",8465005
"795",8465019
"796",8465009
"797",8464995
"798",8464935
"799",8464949
"800",8464889
"801",8464835
"802",8464809
"803",8464817
"804",8465445
"805",8464917
"806",8464929
"807",8465481
"808",8464987
"809",8464919
"810",8465485
"811",8464903
"812",8465479
"813",8464847
"814",8464841
"815",8464811
"816",8465417
"817",8464771
"818",8464727
"819",8464667
"820",8464665
"821",8464673
"822",8464671
"823",8464677
"824",8464695
"825",8464697
"826",8464705
"827",8464721
"828",8464733
"829",8464761
"830",8464797
"831",8465413
"832",8464821
"833",8464845
"834",8464853
"835",8464823
"836",8465477
"837",8464833
"838",8464857
"839",8464813
"840",8465409
"841",8464787
"842",8464765
"843",8464745
"844",8464717
"845",8464689
"846",8464661
"847",8465473
"848",8464657
"849",8464649
"850",8464655
"851",8464685
"852",8464743
"853",8465475
"854",8464779
"855",8465405
"856",8465763
"857",8465785
"858",8464973
"859",8464951
"860",8464961
"861",8464965
"862",8465455
"863",8465453
"864",8464923
"865",8465185
"866",8465179
"867",8465173
"868",8465129
"869",8464999
"870",8465073
"871",8465831
"872",8465837
"873",8468181
"874",8465877
"875",8468201
"876",8465083
"877",8465113
"878",8465115
"879",8465117
"880",8465261
"881",8465275
"882",8466709
"883",8466705
"884",8466673
"885",8466697
"886",8466665
"887",8466663
"888",8468173
"889",8468155
"890",8465867
"891",8465871
"892",8468279
"893",8468277
"894",8465873
"895",8468169
"896",8468207
"897",8468185
"898",8466751
"899",8466761
"900",8466791
"901",8466817
"902",8466815
"903",8466767
"904",8466799
"905",8466861
"906",8466845
"907",8466811
"908",8466827
"909",8466883
"910",8466837
"911",8466859
"912",8467017
"913",8467035
"914",8467013
"915",8468751
"916",8468747
"917",8468231
"918",8468739
"919",8468909
"920",8468907
"921",8468241
"922",8465321
"923",25342179
"924",8471051
"925",25527270
"926",8468839
"927",8468833
"928",8468825
"929",8468827
"930",8465447
"931",8468821
"932",8468819
"933",8468843
"934",8468845
"935",8476062
"936",8476078
"937",8476086
"938",8476090
"939",8476036
"940",8476094
"941",8476070
"942",8476008
"943",8476024
"944",8475966
"945",8475978
"946",8475984
"947",8475976
"948",8476004
"949",8476016
"950",8475962
"951",8476028
"952",8476956
"953",8465349
"954",8465761
"955",8464997
"956",8466041
"957",8465797
"958",8466035
"959",8465803
"960",8466033
"961",8465801
"962",8468547
"963",8468549
"964",8468545
"965",8467151
"966",8467165
