"","COMID"
"1",8508022
"2",8508006
"3",8507986
"4",8508010
"5",8508012
"6",8508008
"7",8507958
"8",8507970
"9",8507954
"10",8507056
"11",8507950
"12",8507004
"13",8507676
"14",8507678
"15",8506986
"16",8506930
"17",8507668
"18",8507670
"19",8508188
"20",8507664
"21",8507660
"22",8506830
"23",8507658
"24",8506890
"25",8506886
"26",8506838
"27",8506806
"28",8506772
"29",8506752
"30",8506660
"31",8506640
"32",8506630
"33",8506564
"34",8507608
"35",8506588
"36",8506596
"37",8507612
"38",8507616
"39",8506626
"40",8507618
"41",8506658
"42",8506614
"43",8506634
"44",8506560
"45",8506512
"46",8506522
"47",8507588
"48",8506442
"49",8506446
"50",8506434
"51",8506380
"52",8506068
"53",8506096
"54",8506098
"55",8506106
"56",8506124
"57",8506298
"58",8506290
"59",8506284
"60",8506186
"61",8506166
"62",8506136
"63",8506114
"64",8506116
"65",8506070
"66",8505988
"67",8505976
"68",8505990
"69",8505984
"70",8505942
"71",8505914
"72",8505908
"73",8505886
"74",8505862
"75",8505860
"76",8505848
"77",8505840
"78",8505814
"79",8505740
"80",8505638
"81",8505614
"82",8505586
"83",8505564
"84",8505512
"85",8505474
"86",8505440
"87",8505432
"88",8505412
"89",8505426
"90",8505464
"91",8505466
"92",8505428
"93",8505420
"94",8507498
"95",8505314
"96",8505294
"97",8505290
"98",8505262
"99",8505228
"100",8505218
"101",8505222
"102",8505202
"103",8505194
"104",8505186
"105",8505168
"106",8505164
"107",8505124
"108",8505022
"109",8504938
"110",8504944
"111",8504986
"112",8504990
"113",8504988
"114",8504974
"115",8504892
"116",8504882
"117",8504838
"118",8504830
"119",8504802
"120",8504796
"121",8504734
"122",8504736
"123",8504712
"124",8501794
"125",8504700
"126",8501764
"127",8501768
"128",8502108
"129",8501738
"130",8501552
"131",8501920
"132",8502580
"133",8502568
"134",8502564
"135",8502562
"136",8502572
"137",8502582
"138",8502586
"139",8508034
"140",8506158
"141",8507680
"142",8507046
"143",8508036
"144",8507682
"145",8507020
"146",8506274
"147",8501532
"148",8502832
"149",8502578
"150",25293865
