"","COMID"
"1",4709276
"2",4709260
"3",4709234
"4",4709162
"5",4709166
"6",4709202
"7",4709208
"8",4709952
"9",4709174
"10",4709112
"11",4709090
"12",4709076
"13",4709038
"14",4709026
"15",4708940
"16",4709936
"17",4708978
"18",4709938
"19",4708912
"20",4709790
"21",4708796
"22",4708726
"23",4708742
"24",4708762
"25",4709782
"26",4708846
"27",4708952
"28",4708946
"29",4708816
"30",4709884
"31",4708738
"32",4708734
"33",4708722
"34",4708660
"35",4708628
"36",4708584
"37",4709760
"38",4708548
"39",4708546
"40",4708530
"41",4708512
"42",4708504
"43",4708474
"44",4708462
"45",4708398
"46",4708378
"47",4707902
"48",4708354
"49",4707890
"50",4707898
"51",4707946
"52",4707876
"53",4707866
"54",4707858
"55",4707832
"56",4707840
"57",4707844
"58",4707846
"59",4707836
"60",4707826
"61",4707820
"62",4707812
"63",4707802
"64",4707766
"65",4707760
"66",4707724
"67",4707716
"68",4707682
"69",4707666
"70",4707648
"71",4707632
"72",4707616
"73",4707620
"74",4707948
"75",4708854
"76",4708866
"77",4708950
"78",4709778
"79",4708686
"80",4708682
"81",4708740
"82",4708768
"83",4708766
"84",4708714
"85",4708708
"86",4708702
"87",4708698
"88",4708692
"89",4708652
"90",4708622
"91",4708602
"92",4708600
"93",4709766
"94",4708558
"95",4708562
"96",4708590
"97",4708594
"98",4708592
"99",4708554
"100",4708518
"101",4708480
"102",4709738
"103",4708442
"104",4707924
"105",4708712
"106",4708658
"107",4708624
"108",4709914
"109",4709768
"110",4708502
"111",4708536
"112",4709228
"113",4709236
"114",4709196
"115",4709150
"116",4709136
"117",4709098
"118",4709078
"119",4709024
"120",4709002
"121",4709796
"122",4708728
"123",4708574
"124",4708674
"125",4708472
"126",4708416
"127",4709742
"128",4709900
"129",4709898
"130",4709896
"131",4708418
"132",4709756
"133",4708490
"134",4708522
"135",4707850
"136",4707872
"137",4707910
"138",4708410
"139",4708436
"140",4708476
"141",4708470
"142",4709184
"143",4709074
"144",4709134
"145",4709070
"146",4709126
"147",4709050
"148",4709060
"149",4709094
"150",4709122
"151",4709818
"152",4709820
"153",4709816
"154",932050062
"155",4709110
"156",932050059
"157",4708914
"158",4708944
"159",4709934
"160",4708844
"161",4708898
"162",4708954
"163",4708970
"164",4708960
"165",4708982
"166",4708998
"167",4709044
"168",4708968
"169",4708956
"170",4709926
"171",4709804
"172",4709006
"173",4709924
"174",4709922
"175",4708788
"176",4708748
"177",4708830
"178",4708860
"179",4708922
"180",4709802
"181",4708550
"182",4709764
"183",4709754
"184",4709752
"185",4708460
"186",4709906
"187",4708448
"188",4709904
"189",4707874
"190",4707904
"191",4707768
"192",4707774
"193",4707758
"194",4707756
"195",4707744
"196",4707752
"197",4707750
"198",4707738
"199",4707938
"200",4707722
"201",4707712
"202",4707954
"203",4707694
"204",4707678
"205",4707676
"206",4707672
"207",4707664
"208",4707926
"209",4707928
"210",4707698
"211",4707714
"212",4707668
"213",4707644
"214",4707952
"215",4707630
"216",4707626
"217",4707950
"218",4707618
"219",4707650
"220",4707640
"221",4707642
"222",4707684
"223",4707680
"224",4707964
"225",4707800
"226",4707792
"227",4707810
"228",4707822
"229",4707794
"230",4707816
"231",4707962
"232",4707746
"233",4707838
"234",4707842
"235",4707834
"236",4707828
"237",4707784
"238",4707732
"239",4707726
"240",4707932
"241",4707830
"242",4707868
"243",4707878
"244",4707860
"245",4707848
"246",4707886
"247",4707888
"248",4708356
"249",4707900
"250",4707882
"251",4708362
"252",4708380
"253",4708514
"254",4708510
"255",4708532
"256",4708564
"257",4708566
"258",4708632
"259",4709774
"260",4708638
"261",4708664
"262",4709776
"263",4708662
"264",4708814
"265",4708776
"266",4708850
"267",4708760
"268",4708758
"269",4708754
"270",4708706
"271",4708678
"272",4708696
"273",4708756
"274",4709780
"275",4708732
"276",4708786
"277",4708840
"278",4708828
"279",4708930
"280",4708942
"281",4708918
"282",4708864
"283",4708822
"284",4708804
"285",4708744
"286",4709114
"287",4709144
"288",4709148
"289",4709040
"290",4708974
"291",4708934
"292",4708876
"293",4709928
"294",4708812
"295",4708798
"296",4708800
"297",4709160
"298",4709164
"299",4709262
"300",4709258
"301",4709242
"302",4708858
"303",4708868
"304",4709920
"305",4709916
"306",4707958
"307",4707956
"308",4708552
"309",4708544
"310",4708444
"311",4708456
"312",4708774
"313",4708772
"314",4708750
"315",4708500
"316",4708648
"317",4708680
"318",4708644
"319",4708612
"320",4708586
"321",4708494
"322",4708570
"323",4708438
"324",4708396
"325",4707920
"326",4709008
"327",4709118
"328",4709100
"329",4709264
"330",4709384
"331",4709374
"332",4709828
"333",4709354
"334",4709322
"335",4709400
"336",4709366
"337",4709958
"338",4709286
"339",4709292
"340",4709348
"341",4709368
"342",4709072
"343",4709120
"344",4709048
"345",4709034
"346",4708900
"347",4710060
"348",4709000
"349",4709014
"350",4708988
"351",4709810
"352",4708896
"353",4708910
"354",4709794
"355",4708836
"356",4709784
"357",4708782
"358",4708838
"359",4708880
"360",4708778
"361",4708808
"362",4708878
"363",4708872
"364",4708640
"365",4708636
"366",4709770
"367",4709772
"368",4708634
"369",4708672
"370",4708618
"371",4708688
"372",4708654
"373",4708524
"374",4709758
"375",4708464
"376",4708402
"377",4708482
"378",4708520
"379",4708454
"380",4708508
"381",4708560
"382",4708488
"383",4708556
"384",4708604
"385",4708710
"386",4708716
"387",4708684
"388",4708484
"389",4708516
"390",4708434
"391",4709740
"392",4708446
"393",4709902
"394",4707908
"395",4707906
"396",4707880
"397",4707852
"398",4707786
"399",4707870
"400",4707814
"401",4707856
"402",4707780
"403",4707754
"404",4707854
"405",4707936
"406",4707736
"407",4707730
"408",4707720
"409",4707708
"410",4707690
"411",4707930
"412",4707742
"413",4707706
"414",4707674
"415",4707656
"416",4707710
"417",4707688
"418",4707654
"419",4707658
"420",4707662
"421",4707652
"422",4707660
"423",4707670
"424",4707638
"425",4707636
"426",4707646
"427",4707686
"428",4707748
"429",4707818
"430",4707782
"431",4707762
"432",4707806
"433",4707864
"434",4707696
"435",4707944
"436",4708408
"437",4708390
"438",4708486
"439",4708458
"440",4708440
"441",4709908
"442",4708764
"443",4708752
"444",4708724
"445",4710058
"446",4708694
"447",4708568
"448",4708616
"449",4708582
"450",4708656
"451",4708626
"452",4708506
"453",4708538
"454",4708690
"455",4708792
"456",4708666
"457",4708824
"458",4708888
"459",4708870
"460",4709932
"461",4709930
"462",4708916
"463",4708920
"464",4709158
"465",4709154
"466",4708972
"467",4708932
"468",4708874
"469",4708810
"470",4709036
"471",4709042
"472",4709194
"473",4708908
"474",4709096
"475",4708842
"476",4708620
"477",4708676
"478",4708730
"479",4708720
"480",4708704
"481",4709004
"482",4708984
"483",4708938
"484",4708904
"485",4708926
"486",4709066
"487",4709028
"488",4709082
"489",4709088
"490",4709138
"491",4709140
"492",4709128
"493",4709152
"494",4709022
"495",4709020
"496",4707916
"497",4708374
"498",4715284
"499",4708856
"500",4709918
"501",4707960
"502",932050173
"503",932050087
"504",932050113
"505",932050133
"506",4709010
"507",4709018
"508",4709336
"509",4709390
"510",4709388
"511",4709338
"512",4709380
"513",4709342
"514",4709310
"515",4708906
"516",4708848
"517",4708890
"518",4708862
"519",4708790
"520",4708780
"521",4708700
"522",4708670
"523",4708394
"524",4708542
"525",4708466
"526",4708430
"527",4708422
"528",4708382
"529",4707914
"530",4708450
"531",4708426
"532",4708596
"533",4708610
"534",4708572
