"","COMID"
"1",932030163
"2",6250998
"3",6249686
"4",6249670
"5",6249650
"6",6251048
"7",6251026
"8",6251020
"9",6251028
"10",6251018
"11",6251052
"12",6249824
"13",6249784
"14",6251084
"15",6251062
"16",6251064
"17",6251082
"18",6249832
"19",6251086
"20",6251090
"21",6251126
"22",6250676
"23",6251124
"24",6251152
"25",6251144
"26",6251122
"27",6251112
"28",6249820
"29",6249826
"30",6251110
"31",6251114
"32",6251116
"33",6249828
"34",6249762
"35",26814495
"36",6249754
"37",6250656
"38",6249910
"39",6250668
"40",6249902
"41",6250688
"42",6250692
"43",6250690
"44",6250700
"45",6249976
"46",6249992
"47",6250714
"48",6250762
"49",6250766
"50",6250784
"51",6250202
"52",6250802
"53",6250246
"54",6250814
"55",6250836
"56",6250358
"57",6250368
"58",6250390
"59",6250398
"60",6250864
"61",6250422
"62",6250420
"63",6250418
"64",6250860
"65",6250360
"66",6250852
"67",6250336
"68",6250332
"69",6250276
"70",6250266
"71",6250320
"72",6251404
"73",6251400
"74",6251402
"75",6250820
"76",6251396
"77",6250214
"78",6250190
"79",6251392
"80",6251394
"81",6250388
"82",6249772
"83",6249770
"84",6249814
"85",6249768
"86",6249792
"87",6251104
"88",6249816
"89",6251106
"90",6249780
"91",6249766
"92",6249740
"93",6249738
"94",6249700
"95",6249690
"96",6249658
"97",6250622
"98",6249500
"99",6249492
"100",6249470
"101",6250618
"102",6249994
"103",6250706
"104",6249948
"105",6250680
"106",6249912
"107",6249860
"108",6251176
"109",6250646
"110",6249724
"111",6249774
"112",6249866
"113",6250378
"114",6250384
"115",6250846
"116",6250842
"117",6250302
"118",6250304
"119",6251398
"120",6250280
"121",6250278
"122",6250826
"123",6250428
"124",6250424
"125",6250432
"126",6251408
"127",6251406
"128",6250426
"129",6250430
"130",6250414
"131",6250416
"132",6250412
"133",6249710
"134",6251046
"135",6249568
"136",6249566
"137",6249508
"138",6249426
"139",6250940
"140",6249352
"141",6249402
"142",932030149
"143",6246230
"144",932030150
"145",6246210
"146",6246182
"147",6246184
"148",6246178
"149",6246174
"150",6246362
"151",6246090
"152",6246854
"153",6246084
"154",6246066
"155",6245978
"156",6245976
"157",6245966
"158",6246012
"159",6246352
"160",6246328
"161",6245662
"162",6249852
"163",6250682
"164",6250704
"165",6249760
"166",6249788
"167",6251056
"168",6251070
"169",6251054
"170",6251078
"171",6249842
"172",6249966
"173",6251094
"174",6254168
"175",6251092
"176",6250034
"177",6251278
"178",6250736
"179",6249928
"180",6251146
"181",6251148
"182",6249960
"183",6249748
"184",6250642
"185",6249862
"186",6250654
"187",6249904
"188",6249884
"189",6249800
"190",6251208
"191",6249786
"192",6250650
"193",6249596
"194",6251036
"195",6246242
"196",6249392
"197",6246190
"198",6246214
"199",6246892
"200",6246152
"201",6246880
"202",6246364
"203",6250770
"204",6250238
"205",6250794
"206",6251372
"207",6251370
"208",6250252
"209",6250862
"210",6250352
"211",6250346
"212",6250880
"213",6250334
"214",6250324
"215",6250312
"216",6250828
"217",6250220
