"","COMID"
"457",8506688
"458",8506664
"459",8507598
"460",8506466
"461",8506416
"462",8506388
"463",8507542
"464",8508098
"465",8501762
"466",8501742
"467",8501702
"468",8501678
"469",8501658
"470",8501638
"471",8501640
"472",8501642
"473",8501644
"474",8501632
"475",8501944
"476",8501940
"477",8501936
"478",8501930
"479",8501926
"480",8501564
"481",8501924
"482",8501542
"483",8501522
"484",8501510
"485",8501474
"486",8501446
"487",8501422
"488",8501504
"489",8502536
"490",8501400
"491",8502530
"492",8502520
"493",8502552
"494",8502554
"495",8502558
"496",8502574
"497",8501576
"498",8501584
"499",8501596
"500",8501614
"501",8501628
"502",8501654
"503",8501714
"504",8505864
"505",8505852
"506",8505830
"507",8505810
"508",8505790
"509",8507526
"510",8507516
"511",8505544
"512",8505442
"513",8505344
"514",8505342
"515",8505338
"516",8505376
"517",8505390
"518",8505392
"519",8505366
"520",8505356
"521",8507506
"522",8507492
"523",8507494
"524",8505270
"525",8507490
"526",8505242
"527",8507816
"528",8505208
"529",8505212
"530",8505210
"531",8507476
"532",8505140
"533",8507474
"534",8505116
"535",8505062
"536",8505056
"537",8505080
"538",8505068
"539",8507470
"540",8505038
"541",8507468
"542",8505024
"543",8504966
"544",8504952
"545",8507462
"546",8504918
"547",8504924
"548",8504916
"549",8504896
"550",8504888
"551",8504776
"552",8504856
"553",8506038
"554",8506032
"555",8506002
"556",8505946
"557",8507534
"558",8505960
"559",8505996
"560",8507536
"561",8506048
"562",8505982
"563",8506206
"564",8506232
"565",8506324
"566",8506374
"567",8506378
"568",8506364
"569",8506394
"570",8507570
"571",8507568
"572",8506408
"573",8506392
"574",8506384
"575",8506344
"576",8506248
"577",8507546
"578",8506262
"579",8506288
"580",8506278
"581",8506292
"582",8506228
"583",8506218
"584",8506190
"585",8506170
"586",8506180
"587",8506214
"588",8506216
"589",8506204
"590",8506092
"591",8505932
"592",8505806
"593",8505764
"594",8505756
"595",8505738
"596",8505736
"597",8505566
"598",8505494
"599",8505404
"600",8505324
"601",8505312
"602",8505278
"603",8505216
"604",8505106
"605",8505082
"606",8505074
"607",8505034
"608",8505004
"609",8505014
"610",8505000
"611",8508742
"612",8504980
"613",8508732
"614",8508734
"615",8508738
"616",8508728
"617",8508724
"618",8508718
"619",8508684
"620",8508678
"621",8508672
"622",8508650
"623",8508652
"624",8508660
"625",8508640
"626",8508636
"627",8508634
"628",8508628
"629",8508638
"630",8508632
"631",8508618
"632",8508596
"633",8508602
"634",8508594
"635",8508904
"636",8508906
"637",8508586
"638",8502748
"639",8502730
"640",8502708
"641",8502692
"642",8502672
"643",8502662
"644",8502658
"645",8502654
"646",8502642
"647",8502570
"648",8506796
"649",8506804
"650",8507656
"651",8506844
"652",8506880
"653",8506876
"654",8506884
"655",8506888
"656",8506896
"657",8506906
"658",8506908
"659",8506898
"660",8506850
"661",8507654
"662",8506810
"663",8506798
"664",8506690
"665",8506760
"666",8507106
"667",8514418
"668",8507972
"669",8507108
"670",8507978
"671",8507074
"672",8507694
"673",8507082
"674",8507080
"675",8507982
"676",8507064
"677",8507980
"678",8507054
"679",8507028
"680",8507014
"681",8507686
"682",8507050
"683",8507018
"684",8506996
"685",8507974
"686",8506976
"687",8502560
"688",8502546
"689",8502540
"690",8507704
"691",8508018
"692",8514428
"693",8507710
"694",8507714
"695",8507716
"696",8507222
"697",8507232
"698",8507234
"699",8507256
"700",8507728
"701",8507726
"702",8507240
"703",8507230
"704",8505514
"705",8505528
"706",8505542
"707",8505538
"708",8507996
"709",8514434
"710",8508026
"711",8507156
"712",8507992
"713",8507964
"714",8507100
"715",8507092
"716",8507026
"717",8507000
"718",8506916
"719",8506444
"720",8506340
"721",8507844
"722",8506306
"723",8506154
"724",8506064
"725",8505930
"726",8505418
"727",8507484
"728",8505136
"729",8507464
"730",8506382
"731",8506360
"732",8506350
"733",8507850
"734",8506342
"735",8506418
"736",8507586
"737",8506476
"738",8507584
"739",8506428
"740",8507582
"741",8503220
"742",8503740
"743",8503246
"744",8503290
"745",8503326
"746",8503336
"747",8503366
"748",8503342
"749",8506462
"750",8507590
"751",8506432
"752",8506422
"753",8507842
"754",8506308
"755",8506182
"756",8506036
"757",8506040
"758",8502542
"759",8502566
"760",8507142
"761",8508196
"762",8503248
"763",8503260
"764",8503802
"765",8514450
"766",8503798
"767",8503288
"768",8503754
"769",8503790
"770",8503750
"771",8503278
"772",8503242
"773",8503234
"774",8503708
"775",8503354
"776",8503866
"777",8503372
"778",8503346
"779",8503872
"780",8503352
"781",8503370
"782",8503332
"783",8503360
"784",8503868
"785",8503330
"786",8503304
"787",8503836
"788",8503840
"789",8503256
"790",8503286
"791",8503828
"792",8503724
"793",8503230
"794",8503720
"795",8503210
"796",8503208
"797",8503676
"798",8503688
"799",8503192
"800",8503176
"801",8503178
"802",8503168
"803",8503616
"804",8503190
"805",8514446
"806",8503672
"807",8503716
"808",8503180
"809",8503692
"810",8503188
"811",8503682
"812",8503558
"813",8503784
"814",8503786
"815",8503272
"816",8503266
"817",8503876
"818",8503874
"819",8503340
"820",8503200
"821",8503822
"822",8503812
"823",8514454
"824",8503808
"825",8514452
"826",8503842
"827",8503804
"828",8503880
"829",8503264
"830",8503348
"831",8503152
"832",8503648
"833",8503632
"834",8503684
"835",8503184
"836",8503780
"837",8503742
"838",8503736
"839",8503928
"840",8503732
"841",8507734
"842",8507350
"843",8507274
"844",8503774
"845",8508056
"846",8514440
"847",8507326
"848",8507308
"849",8508030
"850",8507180
"851",8508028
"852",8507206
