"","COMID"
"1",6249824
"2",6249784
"3",6251084
"4",6251082
"5",6249832
"6",6251086
"7",6251090
"8",6251126
"9",6250676
"10",6251124
"11",6251152
"12",6251144
"13",6251122
"14",6251112
"15",6249820
"16",6249826
"17",6251110
"18",6251114
"19",6251116
"20",6249828
"21",6249762
"22",26814495
"23",6249754
"24",6250656
"25",6249910
"26",6250668
"27",6249902
"28",6250688
"29",6250692
"30",6250690
"31",6250700
"32",6249976
"33",6249992
"34",6250714
"35",6250762
"36",6250766
"37",6250784
"38",6250202
"39",6250802
"40",6250246
"41",6250814
"42",6250836
"43",6250358
"44",6250368
"45",6250390
"46",6250398
"47",6250864
"48",6250422
"49",6250420
"50",6250418
"51",6250860
"52",6250360
"53",6250852
"54",6250336
"55",6250332
"56",6250276
"57",6250266
"58",6250320
"59",6251404
"60",6251400
"61",6251402
"62",6250820
"63",6251396
"64",6250214
"65",6250190
"66",6251392
"67",6251394
"68",6250388
"69",6249772
"70",6249770
"71",6249814
"72",6249768
"73",6249792
"74",6251104
"75",6249816
"76",6251106
"77",6249780
"78",6249766
"79",6249740
"80",6249738
"81",6249700
"82",6249690
"83",6249658
"84",6250622
"85",6249500
"86",6249492
"87",6249470
"88",6250618
"89",6249994
"90",6250706
"91",6249948
"92",6250680
"93",6249912
"94",6249860
"95",6251176
"96",6250646
"97",6249724
"98",6249774
"99",6249866
"100",6250378
"101",6250384
"102",6250846
"103",6250842
"104",6250302
"105",6250304
"106",6251398
"107",6250280
"108",6250278
"109",6250826
"110",6250428
"111",6250424
"112",6250432
"113",6251408
"114",6251406
"115",6250426
"116",6250430
"117",6250414
"118",6250416
"119",6250412
"120",6249352
"121",6249402
"122",932030149
"123",6246230
"124",932030150
"125",6246210
"126",6246182
"127",6246184
"128",6246178
"129",6246174
"130",6246362
"131",6246090
"132",6246854
"133",6246084
"134",6246066
"135",6245978
"136",6245976
"137",6245966
"138",6246012
"139",6246352
"140",6246328
"141",6245662
"142",6249852
"143",6250682
"144",6250704
"145",6249966
"146",6251094
"147",6254168
"148",6251092
"149",6250034
"150",6251278
"151",6250736
"152",6249928
"153",6251146
"154",6251148
"155",6249960
"156",6249748
"157",6250642
"158",6249862
"159",6250654
"160",6249904
"161",6249884
"162",6249800
"163",6251208
"164",6249786
"165",6250650
"166",6249596
"167",6251036
"168",6246242
"169",6249392
"170",6246190
"171",6246214
"172",6246892
"173",6246152
"174",6246880
"175",6246364
"176",6250770
"177",6250238
"178",6250794
"179",6251372
"180",6251370
"181",6250252
"182",6250862
"183",6250352
"184",6250346
"185",6250880
"186",6250334
"187",6250324
"188",6250312
"189",6250828
"190",6250220
"191",6250796
"192",6250818
"193",6250326
"194",6250328
"195",6250348
"196",6251502
"197",6250356
"198",6250392
"199",6250448
"200",6250872
"201",6250438
"202",6250406
"203",6250366
"204",6251500
"205",6250340
"206",6250812
"207",6250230
"208",6250198
"209",6250188
"210",6250136
"211",6250102
"212",6250224
"213",6250232
"214",6250790
"215",6250764
"216",6251494
"217",6250724
"218",6250732
"219",6250712
"220",6250710
"221",6250684
"222",6250670
"223",6250664
"224",6249752
