"","COMID"
"1",4726191
"2",4725557
"3",4725539
"4",4725511
"5",4725467
"6",4725431
"7",4725397
"8",4725395
"9",4725333
"10",4725323
"11",4725337
"12",4725261
"13",4725205
"14",4725199
"15",4726155
"16",4725137
"17",4725125
"18",4725105
"19",4725021
"20",4724997
"21",4725007
"22",4724949
"23",4724939
"24",4724929
"25",4724887
"26",4724947
"27",4724859
"28",4725393
"29",4725321
"30",4725113
"31",4725157
"32",4725191
"33",4725253
"34",4725535
"35",4726239
"36",4725607
"37",4725637
"38",4725465
"39",4725429
"40",4725331
"41",4725311
"42",4725235
"43",4725173
"44",4725069
"45",4725189
"46",4726153
"47",4724959
"48",4725135
"49",4725019
"50",4724999
"51",4724885
"52",4724967
"53",4725083
"54",4725015
"55",4725193
"56",4725057
"57",4725229
"58",4726173
"59",4725289
"60",4725329
"61",4725371
"62",4725419
"63",4726189
"64",4725503
"65",4725507
"66",4726227
"67",4725399
"68",4725411
"69",4726527
"70",4725403
"71",4725439
"72",4725443
"73",4726231
"74",4725575
"75",4726241
"76",4725651
"77",4725491
"78",4726243
"79",4725319
"80",4725111
"81",4725233
"82",4725067
"83",4725175
"84",4726139
"85",4724857
"86",4725059
"87",4725087
"88",4725187
"89",4725381
"90",4726177
"91",4726185
"92",4725363
"93",4725481
"94",4726225
"95",4725571
"96",4725569
"97",4726221
"98",4726267
"99",4726229
"100",4725527
"101",4725447
"102",4725601
"103",4725455
"104",4725513
"105",4725531
"106",4725541
"107",4726233
"108",4725597
"109",4725641
"110",4725635
"111",4726245
"112",4725353
"113",4726223
"114",4725587
"115",4725629
"116",4725487
"117",4726235
